ra,dec,redshift,brightness,richness,total_N,gal_id,cluster_id,cluster_redshift
149.47123222729192,1.8596815313050736,0.5003,-16.259,9.0,26.0,373193.0,6121.0,0.5049
150.26179852824538,1.7588313593472478,0.5018,-16.771,8.0,61.0,309304.0,6126.0,0.5066
150.40656522854462,2.5900546530694264,0.5022,-17.58,8.0,89.0,850222.0,6144.0,0.5118
149.44775017550532,1.7233989155628868,0.5022,-18.677,11.0,28.0,288650.0,6131.0,0.5064500000000001
150.15601265849216,2.590097407125548,0.5047,-16.137999999999998,9.0,48.0,849927.0,6122.0,0.5057
150.07250226331513,2.7560023013323187,0.5067,-15.368,13.0,68.0,955997.0,6125.0,0.5152
150.53902570222348,2.154478387223643,0.5082,-15.217,9.0,87.0,560654.0,6154.0,0.5163
150.26590635644922,1.7659760558363538,0.5084,-18.096,9.0,39.0,313959.0,6123.0,0.5079
149.79707827008576,2.739018903458275,0.5086,-16.583,8.0,55.0,945673.0,6146.0,0.506
150.0948574503663,2.4878866027247706,0.5087,-17.373,8.0,32.0,782476.0,6119.0,0.5063
150.10342078773863,1.7662984498928316,0.5095,-19.272000000000002,12.0,45.0,314646.0,6165.0,0.5173
150.43515336680468,1.787966723810939,0.5095,-15.492,8.0,76.0,327721.0,6120.0,0.51005
150.3499311246033,1.8480688410933468,0.5096,-16.495,8.0,30.0,365855.0,6141.0,0.51075
150.42884633915185,1.7806875333882812,0.51,-20.176,8.0,73.0,324302.0,6148.0,0.5119
150.24795115103683,1.8660612951504916,0.5105,-15.622,10.0,103.0,377255.0,6153.0,0.5203
149.47227624377018,2.1111835473439324,0.5109,-19.072,8.0,68.0,532469.0,6147.0,0.5127
150.4115633678324,2.670630548880379,0.5109,-16.655,8.0,84.0,901735.0,6124.0,0.5211
150.72053402056983,2.396698969054495,0.511,-17.66,9.0,60.0,723324.0,6133.0,0.5198
149.4677344916549,2.520530557254028,0.5125,-16.604,12.0,76.0,803776.0,6158.0,0.5198499999999999
150.16515706304295,2.254365330286547,0.5125,-18.491,8.0,42.0,628841.0,6127.0,0.5081
149.73428426461481,1.6514321772985283,0.5128,-19.230999999999998,12.0,16.0,244000.0,6132.0,0.5133000000000001
149.4464486055133,2.6640432206564686,0.5141,-16.416,9.0,73.0,897718.0,6143.0,0.5176
150.48574674292973,2.7454910131000503,0.5143,-17.453,8.0,69.0,949818.0,6150.0,0.5161
149.81044030089615,1.7030266570682713,0.5153,-19.549,16.0,70.0,275396.0,6160.0,0.52595
149.49915623161752,1.8086591201345747,0.5153,-18.655,10.0,121.0,341925.0,6166.0,0.5251
150.0917784486502,2.5661468266633705,0.5157,-15.873,10.0,134.0,834107.0,6172.0,0.5085999999999999
150.18490844566497,1.8343803860612118,0.5159,-18.828,8.0,129.0,358149.0,6173.0,0.5213
150.35247687906875,2.688166627317941,0.5159,-16.27,10.0,41.0,913279.0,6128.0,0.5097
150.1314317466697,1.7588256517890797,0.5176,-17.803,8.0,63.0,309666.0,6167.0,0.5244
149.55834389502394,1.933349828304748,0.5187,-16.39,8.0,93.0,420084.0,6134.0,0.5212
150.15836015419453,1.8676967477089117,0.5191,-15.148,19.0,133.0,378311.0,6230.0,0.5272
149.55717060204034,1.9129861824349697,0.5196,-15.985,10.0,110.0,407221.0,6214.0,0.5318
150.42686690751103,2.6865307788353188,0.5207,-17.817,8.0,58.0,912809.0,6140.0,0.524
150.36216736882932,2.7017917544543986,0.5208,-18.296,8.0,76.0,922808.0,6161.0,0.5224
149.8868415281171,1.6516694630994189,0.5218,-17.787,15.0,76.0,243124.0,6170.0,0.52985
149.4783515870718,2.0442514604229878,0.5223,-17.204,9.0,74.0,489110.0,6189.0,0.5327500000000001
150.22151442796095,1.6632834755494643,0.5224,-16.576,9.0,22.0,249954.0,6136.0,0.5132
149.52305244135403,2.6623931978689317,0.5226,-17.094,8.0,16.0,896870.0,6138.0,0.5155000000000001
150.07645791268527,1.9065703107143712,0.5231,-20.28,9.0,85.0,405303.0,6151.0,0.5228
150.12519670249085,1.6367051530582388,0.5231,-19.247,9.0,36.0,234591.0,6129.0,0.5226999999999999
150.33481243939914,1.6493957513110211,0.5233,-19.24,12.0,83.0,242141.0,6137.0,0.5278
149.90731902390976,1.668032659338245,0.5237,-16.701,8.0,55.0,252922.0,6145.0,0.5193
150.05266546172345,1.6898564610136173,0.5237,-15.923,12.0,73.0,266449.0,6171.0,0.5342
