ra,dec,redshift,brightness,richness,total_N,gal_id,cluster_id,cluster_redshift
149.98274542893338,2.6529934457850097,0.9873,-22.095,11.0,50.0,891495.0,0.0,0.9942500000000001
149.98056907916873,2.6665088377644,0.9892,-22.206,10.0,21.0,900715.0,1.0,0.9919
150.34537006496333,2.14966280434668,0.9898,-21.568,10.0,63.0,558807.0,2.0,1.4793
149.61043857411482,2.3349623261000367,0.9908,-21.462,9.0,70.0,683134.0,3.0,1.0734499999999998
149.81952714173661,2.407265067029424,0.9936,-22.275,11.0,49.0,731134.0,4.0,0.9964
150.36986129160738,2.080174885094623,0.9953,-18.266,8.0,28.0,512426.0,856.0,0.9943500000000001
150.0546690714614,2.721641125152177,0.9957,-19.148,9.0,57.0,935424.0,857.0,0.9971
150.29853589555537,2.0321910658417868,0.9983,-22.855,8.0,15.0,482694.0,5.0,0.9888
149.80594158681245,2.3251848004309266,1.0009,-18.288,8.0,26.0,674693.0,858.0,0.9993000000000001
149.928908019657,2.233028940230546,1.0012,-19.476,9.0,26.0,613862.0,855.0,0.9919
149.4693103241114,2.0302926917245148,1.002,-22.25,10.0,69.0,481598.0,6.0,0.9928
150.13133029659028,1.7515860049701957,1.0023,-19.070999999999998,8.0,27.0,305554.0,861.0,1.0051
149.86303059748676,2.292512959408026,1.0033,-21.733,8.0,21.0,654362.0,7.0,0.9963
149.45218908044652,2.149710057581028,1.0037,-22.825,13.0,69.0,559644.0,8.0,1.0071
150.58994782531724,2.1100168351514506,1.0057,-22.697,9.0,121.0,533182.0,9.0,1.4406
149.6202169431341,2.2405691960669385,1.0067,-22.258000000000003,8.0,13.0,620272.0,10.0,0.9973
149.97564036097384,2.3255499056831166,1.0071,-22.305,8.0,102.0,676098.0,11.0,1.0064
150.0217909132771,1.7911935731466708,1.0088,-18.5,8.0,44.0,329749.0,862.0,1.02215
149.9823327385051,2.65597377098026,1.0107,-19.926,11.0,43.0,892486.0,859.0,0.9973
150.7478337085727,2.2534818041242475,1.0108,-18.123,8.0,46.0,627583.0,871.0,1.0324
149.73946075922785,2.3413509911702253,1.0115,-22.483,14.0,103.0,687914.0,12.0,1.0119
150.62542813786595,2.359436437010437,1.0131,-21.44,14.0,108.0,699213.0,13.0,1.01105
150.1258952175881,1.757506031635443,1.0131,-19.342,9.0,30.0,308456.0,860.0,1.00475
150.73342155028098,2.248919431612454,1.0159,-20.298,14.0,72.0,625143.0,874.0,1.0273
149.59612855928918,1.7104451120765098,1.0170000000000001,-17.294,11.0,60.0,279222.0,875.0,1.02975
150.50779707730837,2.0525441066474377,1.0183,-19.148,8.0,38.0,494432.0,863.0,0.9973
150.52794038403226,2.5726145317766584,1.0191,-19.215999999999998,8.0,89.0,839149.0,872.0,1.0215
149.4533910929143,2.4496046755385805,1.0212,-18.055,9.0,50.0,757406.0,867.0,1.0202499999999999
149.933975668221,2.359827756493912,1.0233,-18.241,15.0,60.0,698701.0,864.0,1.00365
150.43403315601182,1.93147086931912,1.0293,-17.512999999999998,10.0,96.0,418916.0,866.0,1.0123
150.404223227427,1.9368754705303133,1.0313,-18.000999999999998,8.0,81.0,422415.0,865.0,1.0427
150.64489934154042,2.5834077006438942,1.0329,-18.07,8.0,40.0,845979.0,882.0,1.0491000000000001
149.72066850857044,1.7994817549323257,1.0352,-17.382,9.0,72.0,335347.0,877.0,1.03105
149.85045096728413,2.3219494041571225,1.0377,-18.063,8.0,92.0,672456.0,878.0,1.04405
150.2083866623391,2.7062224836267386,1.0394,-18.364,8.0,85.0,925420.0,880.0,1.0458
150.037859190924,1.7098535693690755,1.0487,-17.398,13.0,101.0,278815.0,910.0,1.0713
150.32044135283238,2.5209741228998195,1.0533,-18.372,10.0,71.0,803778.0,899.0,1.0667
150.680000373367,2.0095810095702307,1.0545,-19.962,10.0,105.0,467875.0,893.0,1.0628
150.6295381848047,2.490096136153454,1.0555,-18.881,10.0,79.0,783960.0,916.0,1.0763
149.45726315578418,2.311296705152292,1.0555,-19.633,8.0,81.0,665953.0,892.0,1.0641
150.7226781461125,2.177907737835456,1.0558,-19.172,8.0,120.0,576733.0,887.0,1.0557
150.04434010779516,1.7266116922679364,1.0585,-18.199,11.0,96.0,289441.0,889.0,1.0625499999999999
150.73286346196855,2.7484578662131605,1.0589,-18.851,9.0,57.0,951607.0,914.0,1.0738
149.91330555637356,2.3699005993316717,1.0602,-18.218,10.0,91.0,705481.0,902.0,1.0679
150.71737294340215,2.71721012802314,1.0606,-19.915,9.0,91.0,933074.0,881.0,1.0396
150.20375969316436,2.0638836919820136,1.0619,-18.331,10.0,113.0,501815.0,930.0,1.0774
150.29113458795075,2.047886618928876,1.0643,-22.554000000000002,11.0,36.0,492731.0,14.0,0.9936499999999999
150.7445356868333,2.269218072745541,1.0684,-19.867,9.0,101.0,638413.0,885.0,1.0514
150.3315365569915,2.123735866364678,1.0693,-19.229,10.0,102.0,540160.0,923.0,1.0772
149.66038790132626,2.234809158194633,1.0703,-20.498,8.0,103.0,615409.0,897.0,1.056
149.60418829874558,2.469466035330145,1.0709,-20.02,13.0,73.0,771107.0,906.0,1.0741
149.77435948473385,2.2852625422539385,1.0715,-18.222,10.0,139.0,648291.0,946.0,1.0925
150.52069473852075,2.270445288706433,1.0726,-19.264,12.0,90.0,638949.0,938.0,1.0951499999999998
150.19097735961682,2.3010029503362968,1.0749,-19.968,8.0,92.0,659338.0,890.0,1.0542
149.7290132352619,2.241707937644628,1.0758,-20.340999999999998,11.0,104.0,619764.0,935.0,1.0901
150.0695106617608,1.7136775421157595,1.0765,-17.65,9.0,91.0,281234.0,918.0,1.0689
150.05412904331612,2.4694145651691346,1.0769,-17.45,11.0,86.0,770335.0,931.0,1.079
149.832488207112,2.3156884612563107,1.0771,-19.02,9.0,125.0,668812.0,927.0,1.0831
150.1009828652311,1.8567109075807544,1.0773,-17.653,9.0,100.0,371234.0,937.0,1.0942500000000002
149.9806372681283,1.6566459311741426,1.078,-17.34,14.0,66.0,245776.0,943.0,1.09125
150.71617215605463,2.2973111711524314,1.0799,-18.133,13.0,157.0,656273.0,947.0,1.0711
150.5708223975557,2.1545382107259585,1.08,-20.157,8.0,113.0,561177.0,895.0,1.0624
150.20029697903954,1.9047127083501447,1.0814,-20.016,9.0,106.0,402390.0,869.0,1.10135
150.25855304842278,1.7178366481853584,1.0821,-19.746,11.0,64.0,284011.0,936.0,1.0961
150.1883143431237,2.372516918157435,1.083,-17.974,8.0,98.0,707259.0,919.0,1.07695
149.6886466504989,2.4349143270674003,1.0855,-19.105999999999998,12.0,73.0,748263.0,941.0,1.0891
150.70719982976783,2.4505820806055003,1.0858,-20.295,9.0,67.0,758641.0,921.0,1.0778
150.66334258479637,2.311301987299697,1.0884,-19.723,10.0,121.0,665782.0,939.0,1.0932
150.5008393982969,2.551245772289105,1.0891,-19.317,10.0,86.0,824810.0,924.0,1.0782500000000002
150.4962610970924,2.477754756718917,1.0894,-18.867,8.0,118.0,775947.0,934.0,1.0861
150.28463191817158,2.660081645136166,1.0912,-18.065,8.0,69.0,895000.0,922.0,1.0803
150.09533316255434,2.7702527764906693,1.0913,-19.284000000000002,8.0,86.0,965082.0,907.0,1.07085
149.43416085979763,2.707847792545886,1.0922,-18.266,8.0,50.0,926528.0,915.0,1.0756
150.51521373390656,2.6946405385410324,1.0928,-19.305999999999997,9.0,104.0,918056.0,926.0,1.0829499999999999
150.14706598883282,2.1347483508722704,1.0931,-19.145,9.0,127.0,548266.0,870.0,1.1106
150.3206827528868,2.796309660434248,1.0939,-18.927,9.0,64.0,981318.0,912.0,1.0744
150.0662477980174,2.1079853244207283,1.0974,-20.807,12.0,94.0,530376.0,16.0,1.0968499999999999
