group_id,ra,dec,xray_pos_err,redshift,redshift_err,flag_include,m200c,r200c_mpc,r200c_as,conc200c,nmem,nmem_w,ra_mmggs,dec_mmggs,id_mmggs,sm_mmggs,ra_mmggs_zbest,dec_mmggs_zbest,id_mmggs_zbest,name,xflag
110,150.179070,2.112762,0.008889,0.361,0.001,1,13.361,0.515,104.0,4.24,6,4.254,150.182112,2.113393,115211,11.193,150.179714,2.110390,105086,COSMOS CL J100043.1+020637,2
108,149.997880,2.111616,0.008889,0.677,0.001,1,13.509,0.515,73.7,3.81,9,6.759,150.003805,2.114562,80157,11.176,149.995379,2.106982,80220,COSMOS CL J100001.9+020708,2
140,150.010770,2.273210,0.008889,0.473,0.001,1,13.499,0.551,94.3,3.97,4,3.053,150.009079,2.274956,85054,11.129,150.009079,2.274956,85054,COSMOS CL J100002.2+021629,2
46,150.245470,1.864099,0.008889,0.529,0.001,1,13.489,0.536,86.3,3.94,12,9.021,150.250914,1.863990,124957,11.392,150.250914,1.863990,124957,COSMOS CL J100100.2+015150,2
136,150.178210,2.216415,0.008889,0.677,0.004,1,13.508,0.515,73.7,3.81,12,8.091,150.173857,2.215844,108465,10.762,150.173857,2.215844,108465,COSMOS CL J100042.0+021301,2
134,149.648000,2.208903,0.008889,0.951,0.001,1,13.748,0.559,70.9,3.65,23,16.068,149.649639,2.209268,24678,11.598,149.649639,2.209268,24678,COSMOS CL J095835.9+021233,2
133,150.235780,2.209748,0.008889,0.360,0.001,1,13.205,0.457,92.5,4.40,32,23.399,150.236646,2.207196,116824,11.248,150.236646,2.207196,116824,COSMOS CL J100056.8+021225,2
130,150.023100,2.202785,0.008889,0.942,0.001,1,13.792,0.580,73.8,3.64,45,35.931,150.023815,2.203194,83368,11.885,150.023815,2.203194,83368,COSMOS CL J100005.7+021211,2
54,150.579840,1.934682,0.008889,0.310,0.001,1,13.569,0.615,137.6,4.07,36,29.043,150.573557,1.933854,172637,11.287,150.573557,1.933854,172637,COSMOS CL J100217.7+015601,2
143,150.219990,2.278841,0.008889,0.881,0.001,1,13.716,0.560,72.6,3.66,34,26.927,150.214530,2.280095,120363,11.386,150.214530,2.280095,120363,COSMOS CL J100051.5+021648,2
124,150.054780,2.204476,0.008889,0.186,0.000,1,13.131,0.457,150.1,4.78,34,24.872,150.066954,2.210380,91998,10.797,150.066954,2.210380,91998,COSMOS CL J100013.6+021230,2
114,150.592530,2.130048,0.008889,0.728,0.001,1,13.664,0.570,79.1,3.71,24,15.727,150.603188,2.125664,178871,11.651,150.603188,2.125664,178871,COSMOS CL J100221.7+020806,2
