ra,dec,redshift,brightness,LR,N(0.5),total_N,gal_id,cluster_id
150.38442031,2.46022722,0.5156,-22.44,29.59,19,43.0,766466.0,901.0
150.12732918,2.62247681,0.52,-22.8,29.74,19,47.0,870905.0,697.0
150.13615699,1.86128685,0.5202,-23.65,30.09,31,74.0,373831.0,121.0
149.5172568,1.87408996,0.5208,-22.87,29.9,25,81.0,384348.0,684.0
149.81740245,1.72014111,0.5262,-23.07,29.84,25,63.0,286240.0,775.0
150.5818166,2.1475663,0.5295,-23.03,29.83,20,60.0,557354.0,437.0
150.01011164,1.66529179,0.5397,-22.38,29.85,14,43.0,253451.0,944.0
150.13916566,1.76460903,0.5415,-22.65,30.18,17,42.0,315920.0,965.0
150.46449749,2.05995909,0.5417,-23.52,30.03,34,63.0,497616.0,142.0
150.41350532,2.41377579,0.5513,-22.78,29.73,21,65.0,736828.0,877.0
150.62949052,2.39249709,0.5544,-22.86,29.88,15,66.0,723384.0,781.0
149.52361555,1.75897202,0.5609,-23.43,29.99,31,103.0,309192.0,246.0
150.25427822,2.34348809,0.5649,-23.31,30.06,18,42.0,689290.0,588.0
149.66992772,2.15502312,0.5659,-21.95,29.64,15,45.0,553521.0,933.0
150.53549652,1.98610051,0.5703,-21.9,29.38,18,47.0,454411.0,937.0
150.71369439,1.98971177,0.59,-22.62,29.67,16,44.0,457035.0,880.0
149.61938099,1.73543421,0.59,-23.16,29.88,40,79.0,292852.0,364.0
150.57025297,2.49864915,0.5923,-22.92,29.87,34,107.0,789087.0,456.0
150.68436118,2.28638444,0.6014,-22.18,29.79,15,42.0,651662.0,966.0
150.72857653,2.62485712,0.6067,-22.73,29.71,21,50.0,874444.0,913.0
150.72247888,2.76688485,0.6095,-21.94,29.7,26,49.0,965086.0,554.0
150.56773412,2.61361566,0.61,-23.58,30.15,31,88.0,868440.0,397.0
150.32183681,2.55230002,0.6116,-22.84,29.98,20,50.0,827881.0,873.0
149.66309375,1.81261977,0.6166,-22.31,29.85,26,72.0,346516.0,793.0
150.36836126,2.18303709,0.6184,-22.47,29.61,16,47.0,583123.0,961.0
150.6705434,2.41640068,0.6207,-22.67,29.68,18,42.0,739012.0,912.0
149.99264109,2.20223822,0.6324,-22.58,29.76,32,67.0,595950.0,592.0
149.6195481,1.90091503,0.6331,-22.57,29.65,40,98.0,401488.0,139.0
149.8858255,1.69255144,0.6393,-22.79,29.85,21,46.0,270428.0,825.0
149.4472009,1.67811414,0.6398,-22.22,29.52,14,58.0,261666.0,841.0
149.80630609,1.69208792,0.6399,-22.62,29.67,24,94.0,270787.0,434.0
150.63846323,2.71564274,0.6399,-22.74,29.71,37,78.0,934053.0,153.0
150.61674498,2.07183685,0.6399,-22.47,29.61,14,41.0,509766.0,951.0
149.8912969,1.82594585,0.6399,-22.01,29.56,14,40.0,354287.0,958.0
150.19949663,2.14799558,0.64,-22.93,29.8,42,85.0,560167.0,157.0
150.25407774,1.97201058,0.64,-22.58,29.77,25,61.0,446731.0,622.0
150.14812325,2.51784537,0.6516,-23.11,29.87,60,146.0,804406.0,68.0
149.92943703,1.96608765,0.653,-22.08,29.45,15,53.0,442994.0,946.0
149.74546924,1.9503207,0.6532,-22.62,29.68,22,59.0,431773.0,840.0
150.29939816,2.09785464,0.6572,-22.68,30.21,13,50.0,525852.0,941.0
150.27677697,2.71032633,0.6573,-22.5,29.62,21,52.0,930232.0,770.0
150.34110487,2.7743724,0.658,-23.08,29.85,21,54.0,969781.0,849.0
150.19303933,1.99094595,0.6631,-22.51,29.62,16,76.0,457744.0,719.0
149.6438541,2.07033081,0.6646,-22.22,29.51,12,40.0,507939.0,28.0
149.7981363,1.80107904,0.6692,-23.35,29.97,19,44.0,337227.0,890.0
150.36156154,1.9843635,0.6693,-23.18,29.89,23,55.0,453607.0,816.0
149.50169544,1.95387358,0.67,-23.29,29.98,10,44.0,427140.0,945.0
149.71400444,1.83344554,0.67,-23.03,29.83,27,88.0,358610.0,187.0
150.52849474,2.12395284,0.6701,-23.37,30.11,30,51.0,541223.0,801.0
150.49008162,2.44596101,0.6701,-22.74,29.72,24,77.0,758409.0,646.0
150.45877451,2.59087946,0.6701,-23.35,29.95,18,57.0,851669.0,943.0
150.47321183,1.90414115,0.6774,-23.14,30.02,14,40.0,401203.0,942.0
149.78529507,2.03016338,0.6785,-23.19,30.31,19,67.0,477739.0,832.0
149.50369276,2.02412737,0.6788,-23.5,30.01,33,83.0,478093.0,400.0
150.19694656,2.2494547,0.6793,-22.93,29.8,21,81.0,627919.0,612.0
149.62256723,2.17956002,0.6798,-22.26,29.53,24,61.0,581243.0,25.0
150.28699528,2.57345472,0.68,-23.49,30.01,21,65.0,841072.0,657.0
150.05775592,2.61029904,0.68,-23.01,29.83,68,157.0,866167.0,34.0
149.66774979,2.27366808,0.68,-23.31,29.94,39,90.0,643306.0,303.0
149.95552793,2.11009751,0.6801,-23.11,29.87,33,86.0,533797.0,251.0
150.09239921,2.19362661,0.6801,-22.95,29.81,42,91.0,590057.0,185.0
150.35819015,2.6385642,0.6826,-22.76,30.45,19,54.0,883906.0,903.0
149.73070447,2.14731107,0.6857,-22.67,29.84,18,52.0,559691.0,836.0
149.48507758,2.10103923,0.6909,-22.27,29.52,17,50.0,528436.0,858.0
149.47654834,2.60672832,0.6967,-23.03,29.83,16,40.0,863786.0,959.0
150.43019598,2.08688251,0.6973,-22.84,30.29,17,62.0,519651.0,611.0
150.10893303,2.06397336,0.6983,-22.66,29.78,21,87.0,503252.0,189.0
150.11164381,2.70636489,0.6998,-22.78,29.74,34,85.0,927896.0,405.0
150.37737649,1.66888888,0.7,-23.11,29.85,24,43.0,255724.0,884.0
150.46752049,1.99077118,0.7001,-23.09,29.85,30,91.0,458200.0,586.0
149.83462447,2.71909138,0.7015,-21.86,29.45,14,52.0,935659.0,919.0
149.69619615,2.46100145,0.7133,-21.58,29.7,15,42.0,766968.0,949.0
149.52932682,2.65909249,0.7178,-22.86,29.87,32,96.0,897133.0,221.0
150.57567777,2.33010313,0.7197,-22.92,29.79,26,50.0,680610.0,809.0
149.672795,2.76524913,0.7202,-22.54,29.66,28,55.0,964150.0,21.0
150.06508711,1.7418657,0.7206,-22.47,29.61,15,67.0,301432.0,818.0
150.05668881,2.30139264,0.7249,-23.11,29.87,48,117.0,661723.0,71.0
150.11418596,1.91325779,0.7271,-22.78,29.73,21,62.0,410259.0,688.0
150.42302989,1.80733574,0.7275,-23.13,29.98,13,42.0,341759.0,960.0
149.85012465,2.39282188,0.728,-22.44,29.58,34,89.0,721902.0,192.0
149.96053062,1.78236063,0.7289,-22.87,29.76,15,45.0,327303.0,954.0
149.48552197,2.45478574,0.73,-23.01,29.83,21,67.0,764000.0,428.0
149.60655363,2.4426076,0.7308,-22.88,30.06,16,58.0,755416.0,864.0
149.84688416,2.31016843,0.7311,-22.75,29.83,12,56.0,666893.0,808.0
149.83728876,1.98590412,0.7314,-22.13,29.48,17,48.0,455156.0,935.0
150.02222183,1.89450509,0.7345,-21.81,29.66,17,44.0,396963.0,967.0
150.66778692,2.02362883,0.7348,-23.05,29.84,17,53.0,478550.0,794.0
150.20613025,1.82203798,0.7351,-22.14,29.79,14,59.0,350404.0,931.0
149.83885667,1.6830623,0.7388,-24.2,30.3,38,81.0,262008.0,550.0
150.29638089,2.38320879,0.7402,-23.12,30.06,40,116.0,717223.0,103.0
149.92968671,2.53270729,0.7403,-23.72,30.13,95,268.0,814496.0,29.0
149.71889554,2.67460381,0.7481,-22.59,29.66,14,45.0,907506.0,963.0
149.68041726,2.03888829,0.7481,-22.21,29.8,13,42.0,488140.0,956.0
150.29936764,1.78827639,0.7494,-21.19,29.83,8,52.0,329414.0,968.0
149.97466817,2.55548437,0.7498,-23.57,30.04,52,156.0,826407.0,60.0
149.46158064,1.79841947,0.75,-22.11,29.78,18,45.0,336809.0,891.0
149.69070891,1.71459691,0.7594,-22.53,29.63,20,57.0,284635.0,923.0
149.91044353,1.88507344,0.7618,-22.63,29.87,27,66.0,391497.0,855.0
149.63178978,1.67718951,0.7731,-22.82,29.94,16,53.0,257389.0,911.0
150.7328082,2.63238242,0.7845,-22.94,29.4,15,61.0,874442.0,659.0
150.12370661,1.99677165,0.7873,-23.03,29.93,32,66.0,460730.0,672.0
149.65590262,1.90035104,0.79,-22.54,29.63,21,75.0,401170.0,895.0
150.59232379,2.10942224,0.7903,-22.7,29.82,21,61.0,533504.0,652.0
150.42447032,2.77366279,0.7909,-23.36,30.09,41,123.0,969859.0,52.0
