ra,dec,redshift,brightness,LR,N(0.5),total_N,gal_id,cluster_id
149.6210215,2.54741921,0.5011,-21.47,29.21,9,29.0,824330.0,817.0
150.1181818,2.4744811,0.5101,-22.79,29.74,14,54.0,773569.0,794.0
150.38442031,2.46022722,0.5156,-22.44,29.59,11,55.0,766466.0,770.0
150.56914043,2.33300949,0.5199,-22.01,29.94,9,49.0,684026.0,816.0
150.12732918,2.62247681,0.52,-22.8,29.74,14,66.0,870905.0,616.0
149.7317324,2.12433322,0.52,-23.1,29.84,8,39.0,544442.0,810.0
150.25130831,1.77981296,0.5226,-22.52,29.63,21,107.0,321500.0,88.0
150.29962546,1.67715711,0.5231,-22.89,29.79,29,45.0,261108.0,2.0
149.81740245,1.72014111,0.5262,-23.07,29.84,18,86.0,286240.0,678.0
149.68627912,2.33285205,0.5279,-22.9,29.78,17,55.0,684225.0,717.0
150.5818166,2.1475663,0.5295,-23.03,29.83,18,74.0,557354.0,388.0
149.76712556,1.9677203,0.53,-23.11,29.86,10,32.0,439118.0,808.0
149.95844352,2.6937759,0.5302,-21.52,29.61,8,35.0,918923.0,798.0
149.87323131,2.52753334,0.5316,-23.16,29.88,9,49.0,811461.0,811.0
150.71790425,1.99152529,0.5329,-22.3,30.17,13,50.0,458461.0,757.0
149.79067309,2.32172226,0.5359,-22.58,29.65,8,31.0,674826.0,815.0
150.01011164,1.66529179,0.5397,-22.38,29.85,10,45.0,253451.0,799.0
150.46449749,2.05995909,0.5417,-23.52,30.03,33,92.0,497616.0,130.0
149.52361555,1.75897202,0.5609,-23.43,29.99,28,128.0,309192.0,219.0
149.92971161,2.64192994,0.5616,-21.5,29.22,10,36.0,885379.0,812.0
150.25427822,2.34348809,0.5649,-23.31,30.06,15,60.0,689290.0,517.0
150.53549652,1.98610051,0.5703,-21.9,29.38,14,58.0,454411.0,790.0
150.57025297,2.49864915,0.5923,-22.92,29.87,24,111.0,789087.0,400.0
150.24201953,1.79376302,0.5937,-22.39,29.78,10,48.0,334703.0,806.0
150.00109566,2.33518664,0.6013,-22.4,29.97,8,77.0,685318.0,733.0
150.24972711,2.70727307,0.6059,-22.87,29.76,8,41.0,927762.0,703.0
150.56773412,2.61361566,0.61,-23.58,30.15,20,93.0,868440.0,355.0
150.32183681,2.55230002,0.6116,-22.84,29.98,15,54.0,827881.0,752.0
150.36836126,2.18303709,0.6184,-22.47,29.61,12,45.0,583123.0,807.0
149.99264109,2.20223822,0.6324,-22.58,29.76,22,79.0,595950.0,522.0
149.80630609,1.69208792,0.6399,-22.62,29.67,17,100.0,270787.0,385.0
150.63846323,2.71564274,0.6399,-22.74,29.71,30,104.0,934053.0,134.0
150.19949663,2.14799558,0.64,-22.93,29.8,32,116.0,560167.0,136.0
150.12418811,1.65672394,0.6412,-23.17,29.89,12,37.0,247580.0,803.0
150.14812325,2.51784537,0.6516,-23.11,29.87,45,168.0,804406.0,57.0
149.63358838,1.90317999,0.6551,-22.75,29.72,25,119.0,403885.0,118.0
150.27677697,2.71032633,0.6573,-22.5,29.62,14,62.0,930232.0,673.0
150.34110487,2.7743724,0.658,-23.08,29.85,15,45.0,969781.0,739.0
150.42832478,1.83186007,0.67,-21.98,29.42,10,49.0,357920.0,809.0
149.71400444,1.83344554,0.67,-23.03,29.83,17,106.0,358610.0,167.0
149.87681526,2.7406683,0.67,-22.24,29.52,12,58.0,948286.0,782.0
150.45877451,2.59087946,0.6701,-23.35,29.95,12,61.0,851669.0,797.0
150.52849474,2.12395284,0.6701,-23.37,30.11,18,60.0,541223.0,696.0
150.28028358,2.35167379,0.6708,-22.62,29.8,14,133.0,695724.0,86.0
150.59341129,2.57899331,0.6739,-22.23,29.51,18,73.0,845631.0,550.0
149.78529507,2.03016338,0.6785,-23.19,30.31,12,92.0,477739.0,723.0
149.50369276,2.02412737,0.6788,-23.5,30.01,25,85.0,478093.0,357.0
150.05775592,2.61029904,0.68,-23.01,29.83,54,201.0,866167.0,29.0
149.66774979,2.27366808,0.68,-23.31,29.94,26,92.0,643306.0,276.0
149.95552793,2.11009751,0.6801,-23.11,29.87,25,122.0,533797.0,223.0
150.06749816,2.22351699,0.6811,-23.08,29.97,10,129.0,610145.0,164.0
149.73070447,2.14731107,0.6857,-22.67,29.84,15,77.0,559691.0,728.0
149.58178466,2.01228831,0.69,-22.97,29.8,13,80.0,471878.0,702.0
150.43019598,2.08688251,0.6973,-22.84,30.29,13,81.0,519651.0,541.0
150.10893303,2.06397336,0.6983,-22.66,29.78,15,100.0,503252.0,169.0
150.37737649,1.66888888,0.7,-23.11,29.85,17,41.0,255724.0,740.0
150.46752049,1.99077118,0.7001,-23.09,29.85,16,88.0,458200.0,515.0
150.25147673,1.98456074,0.7138,-22.32,29.55,16,74.0,453491.0,552.0
149.52932682,2.65909249,0.7178,-22.86,29.87,25,96.0,897133.0,196.0
150.57567777,2.33010313,0.7197,-22.92,29.79,16,41.0,680610.0,704.0
149.92095993,2.22626268,0.7205,-22.47,29.71,18,82.0,611864.0,22.0
150.06508711,1.7418657,0.7206,-22.47,29.61,12,78.0,301432.0,712.0
149.72021755,2.67505589,0.7233,-22.43,29.59,10,55.0,908113.0,801.0
150.05668881,2.30139264,0.7249,-23.11,29.87,37,158.0,661723.0,60.0
150.11418596,1.91325779,0.7271,-22.78,29.73,17,84.0,410259.0,609.0
150.12660826,2.70807654,0.7286,-22.63,29.81,22,94.0,929232.0,363.0
149.96053062,1.78236063,0.7289,-22.87,29.76,9,55.0,327303.0,802.0
150.16572683,1.70948139,0.7294,-23.08,30.25,22,66.0,280535.0,245.0
149.48552197,2.45478574,0.73,-23.01,29.83,19,62.0,764000.0,382.0
149.60655363,2.4426076,0.7308,-22.88,30.06,13,60.0,755416.0,748.0
150.66778692,2.02362883,0.7348,-23.05,29.84,10,61.0,478550.0,692.0
150.59968,2.13848351,0.7387,-22.17,30.01,18,74.0,552091.0,580.0
149.83885667,1.6830623,0.7388,-24.2,30.3,23,78.0,262008.0,479.0
149.92968671,2.53270729,0.7403,-23.72,30.13,76,298.0,814496.0,24.0
150.74078146,2.40384914,0.7423,-23.77,30.23,23,70.0,730131.0,228.0
149.62108172,1.71857335,0.7446,-23.26,30.36,9,64.0,284527.0,778.0
149.46158064,1.79841947,0.75,-22.11,29.78,12,41.0,336809.0,780.0
149.69070891,1.71459691,0.7594,-22.53,29.63,15,81.0,284635.0,783.0
149.91044353,1.88507344,0.7618,-22.63,29.87,16,70.0,391497.0,744.0
149.97916934,1.80913788,0.79,-22.46,29.6,15,56.0,343427.0,768.0
149.47744872,1.78023483,0.7931,-21.94,29.71,16,45.0,324867.0,23.0
149.70670515,1.96093128,0.7938,-22.19,30.03,11,61.0,439220.0,800.0
149.59847018,1.7545214,0.7943,-22.77,30.33,13,66.0,308471.0,781.0
150.44457915,2.75178447,0.8,-23.87,30.13,23,130.0,952997.0,45.0
150.68959247,2.75328692,0.8,-22.94,29.94,20,79.0,956350.0,461.0
150.03505518,2.65224417,0.801,-23.02,29.81,21,71.0,892922.0,524.0
150.4789936,2.56802647,0.8074,-22.83,29.74,23,127.0,838958.0,166.0
149.97118419,2.04976462,0.8084,-22.7,30.1,16,79.0,494211.0,463.0
150.55867024,2.65458886,0.8176,-23.38,29.93,24,143.0,894148.0,156.0
150.5557152,2.21142652,0.8212,-23.67,30.07,38,243.0,602486.0,30.0
150.75090336,2.21415796,0.8215,-23.27,29.9,14,59.0,604819.0,655.0
150.35433076,2.61912474,0.8218,-22.56,29.62,10,80.0,870733.0,372.0
150.36932356,1.99948478,0.8224,-23.43,29.96,42,161.0,463397.0,46.0
150.68423832,2.40765001,0.8277,-22.87,29.77,29,132.0,732178.0,131.0
150.21844026,2.05774908,0.83,-23.79,30.12,32,115.0,498357.0,91.0
149.8549305,1.89203794,0.8302,-22.65,29.67,8,70.0,396398.0,771.0
150.66156888,1.92556291,0.8309,-23.1,29.85,31,88.0,417713.0,125.0
149.64162337,1.98022999,0.8325,-22.83,30.25,12,86.0,451970.0,662.0
150.12966905,1.67890731,0.8398,-23.32,29.93,16,66.0,261782.0,352.0
149.55172939,2.43718281,0.84,-23.73,30.09,35,150.0,752457.0,52.0
149.66715531,2.37191406,0.84,-23.9,30.16,30,132.0,709386.0,62.0
150.23484827,1.76324341,0.8402,-23.57,30.02,12,108.0,315176.0,594.0
149.6973074,2.2939972,0.8473,-23.39,30.48,18,139.0,657006.0,271.0
149.98124694,1.64665466,0.8488,-22.7,29.84,11,58.0,241818.0,769.0
149.80523929,2.43113837,0.8496,-23.01,30.12,19,73.0,748258.0,628.0
150.15757854,1.89762696,0.8515,-22.92,29.91,16,104.0,400223.0,349.0
149.75317678,1.86917909,0.8532,-22.01,29.41,14,69.0,380951.0,758.0
150.10887776,2.01161058,0.8577,-22.67,29.67,19,90.0,471201.0,599.0
150.2148294,2.28668901,0.8623,-22.99,29.9,46,199.0,651583.0,43.0
150.16000165,2.59545542,0.8646,-23.59,30.03,49,164.0,856782.0,36.0
149.47364251,2.26618958,0.8655,-22.94,30.08,28,118.0,638421.0,238.0
150.53690147,2.07603675,0.8699,-23.39,29.95,26,128.0,512320.0,233.0
150.03061464,1.66394321,0.8702,-22.7,29.8,17,59.0,253009.0,612.0
149.54958473,1.99398867,0.8703,-23.63,30.05,35,121.0,459784.0,59.0
150.08616821,2.53138475,0.8703,-23.97,30.18,62,196.0,813654.0,25.0
150.42768087,2.13139082,0.8721,-23.36,29.94,38,203.0,547997.0,31.0
150.21750397,2.40031657,0.8748,-23.4,29.96,39,151.0,728559.0,61.0
150.17890128,1.86439368,0.878,-23.29,29.92,13,131.0,378300.0,480.0
149.88515409,2.29750496,0.8786,-22.21,29.48,24,104.0,658132.0,315.0
150.2319335,1.6630191,0.88,-23.61,30.16,19,65.0,251179.0,375.0
150.31452487,2.47292903,0.8809,-23.19,29.89,22,80.0,775012.0,201.0
149.92211713,2.60803508,0.8858,-23.69,30.21,30,230.0,864423.0,39.0
149.72046877,2.71026574,0.8895,-22.92,30.2,31,113.0,930673.0,90.0
150.3957695,2.48154668,0.8951,-23.84,30.15,31,147.0,781090.0,49.0
150.16252631,1.64585487,0.9001,-22.53,29.83,11,55.0,241791.0,485.0
150.44783217,1.8505031,0.9053,-22.9,29.76,33,122.0,370210.0,63.0
150.67298151,2.22875039,0.9058,-22.55,29.79,14,87.0,613033.0,443.0
150.53701831,2.67023796,0.9096,-23.47,29.98,28,122.0,903454.0,100.0
149.51531958,2.12443062,0.91,-22.69,29.95,20,91.0,542181.0,496.0
149.97916848,1.66913655,0.91,-22.11,29.78,20,75.0,255179.0,551.0
149.96118045,2.03854136,0.9131,-22.41,29.42,22,93.0,487992.0,15.0
150.26255475,1.91866544,0.9141,-22.73,29.73,17,166.0,413336.0,107.0
149.47398124,1.80453562,0.9196,-22.2,29.87,11,46.0,341614.0,786.0
150.02383067,2.20321087,0.9232,-24.04,30.23,54,251.0,597276.0,27.0
149.88828596,1.92069372,0.9263,-22.86,29.77,18,107.0,414540.0,417.0
