,cluster_id,ra,dec,redshift,group,Ngal,type
0,243325,150.041038,1.679104,0.22,74,3,central
1,244682,149.468224,1.660186,0.6036,1656,5,central
5,248923,149.431513,1.660398,0.9849,5302,2,central
8,248984,149.596887,1.660786,0.8669,3845,3,central
11,249229,149.466702,1.660667,0.6359,1830,3,central
14,249412,149.633649,1.660999,0.6832,2237,2,central
36,250538,150.333574,1.663059,1.1175,6147,3,central
58,251829,150.003856,1.664961,1.0211,5661,3,central
59,251848,149.861656,1.663684,0.845,3577,2,central
64,252033,149.600935,1.665355,0.6715,2127,2,central
67,252138,150.222322,1.665346,1.1837,7094,3,central
80,253009,150.030615,1.663943,0.8702,3890,2,central
82,253047,149.416978,1.665116,0.6587,1891,2,central
119,254764,150.166316,1.666815,0.8012,3033,3,central
125,254996,149.980609,1.669272,0.8613,3780,3,central
126,255028,150.033201,1.667166,0.4298,682,5,central
140,255724,150.377376,1.668889,0.7,1940,19,central
143,255841,149.425995,1.668995,0.509,1135,5,central
145,255883,149.494737,1.671244,0.8694,3781,2,central
166,256698,149.697183,1.669657,0.79,2929,2,central
175,257188,149.614873,1.672223,0.5198,1206,4,central
176,257229,149.875597,1.671506,0.43,786,2,central
178,257311,149.820745,1.670895,0.8268,3219,6,central
191,257900,149.932486,1.674773,1.1655,6849,3,central
194,258097,149.976113,1.675573,1.1427,6439,4,central
195,258135,149.427052,1.672622,0.6376,1755,9,central
197,258266,150.273903,1.675361,0.7535,2775,2,central
199,258298,149.812809,1.674865,0.38,575,2,central
200,258299,149.628216,1.675709,1.139,6442,2,central
203,258335,149.494006,1.674534,0.6619,2000,2,central
210,258506,149.642702,1.674416,0.4785,1018,2,central
212,258541,149.804901,1.674825,0.9302,4517,2,central
218,258662,149.547135,1.674443,0.7634,2776,3,central
227,258881,149.672475,1.674679,0.5202,1208,3,central
240,259270,150.040629,1.674914,0.5209,1209,4,central
248,259565,149.460155,1.677265,1.1682,6877,2,central
253,259767,149.953293,1.67749,0.8497,3633,2,central
265,260308,149.662132,1.678425,1.1605,6741,2,central
273,260653,150.164905,1.677953,0.7136,2370,5,central
281,260858,149.952807,1.679283,0.8325,3220,3,central
291,261167,149.602772,1.679899,0.5894,1493,2,central
302,261465,150.267721,1.680161,0.2502,133,3,central
310,261628,150.006411,1.681174,1.0773,5990,2,central
324,261937,149.953316,1.682623,1.1951,7095,2,central
328,262004,149.428487,1.678099,0.3964,620,3,central
334,262085,150.314341,1.678838,0.5626,1352,4,central
345,262725,150.277007,1.682111,0.9833,5105,3,central
360,263121,150.026049,1.681372,0.3604,504,5,central
379,263972,149.570948,1.684319,0.4756,999,2,central
380,264015,149.92098,1.683865,0.7076,2465,2,central
412,265145,150.225756,1.686399,0.8257,3159,2,central
417,265325,150.286263,1.686933,1.1764,6963,2,central
418,265345,150.209903,1.684633,0.3092,284,3,central
419,265461,149.798859,1.685665,0.9536,4630,7,central
