,cluster_id,ra,dec,redshift,zs,mag,Ngal,R,Ltot
833,J100313.1+013611,150.81335,1.60198,0.5119,-1.0,20.25,15,13.84,49.84
834,J100234.8+013458,150.65953,1.57775,1.1997,-1.0,21.96,28,24.0,110.79
835,J100117.0+013618,150.34543,1.62183,0.2283,-1.0,18.74,13,11.37,33.54
836,J100112.4+013401,150.28815,1.55581,0.361,0.3638,19.08,36,32.15,105.62
837,J100032.8+013603,150.13351,1.59793,0.528,-1.0,20.53,17,13.0,53.01
838,J100048.6+013453,150.18604,1.57553,0.361,-1.0,19.49,22,17.27,56.38
839,J095958.4+013633,150.00375,1.61235,0.534,-1.0,20.57,12,7.69,24.28
840,J095949.7+013059,149.95132,1.52023,1.0227,-1.0,22.99,22,18.0,57.44
841,J095842.2+013237,149.67801,1.55048,0.6356,-1.0,19.54,19,15.38,88.85
842,J095821.3+013252,149.59566,1.54674,0.4344,-1.0,20.36,17,13.61,28.66
843,J095819.4+013055,149.57664,1.53003,1.3173,-1.0,24.53,11,8.82,27.52
844,J095749.9+013124,149.46227,1.54164,0.8648,-1.0,21.65,20,18.93,68.8
845,J100305.8+014430,150.77077,1.74306,0.6446,-1.0,20.99,10,5.69,25.77
846,J100308.4+014010,150.78935,1.667,0.9845,-1.0,22.88,21,19.26,95.12
847,J100224.1+013928,150.59566,1.64874,1.0207,1.0099,22.52,13,7.59,49.9
848,J100248.0+013904,150.70691,1.64821,0.6637,-1.0,21.09,27,22.26,59.46
849,J100143.5+014656,150.42152,1.78792,1.0458,-1.0,21.66,9,5.75,43.94
850,J100126.0+013756,150.36407,1.63298,0.531,-1.0,19.71,15,10.67,60.0
851,J100101.6+014542,150.25125,1.77982,0.543,0.5296,20.82,12,5.33,18.55
852,J100055.8+014451,150.23296,1.73957,0.9734,-1.0,22.27,23,19.0,83.03
853,J100109.8+014120,150.27966,1.69567,0.5249,-1.0,20.3,21,16.0,60.28
854,J100117.9+013751,150.31813,1.638,1.2399,-1.0,23.41,37,27.4,113.62
855,J100041.0+014134,150.1657,1.70948,0.7361,-1.0,21.04,27,18.03,84.32
856,J100045.9+013906,150.18977,1.65741,0.2202,0.2206,-9.99,21,19.58,65.98
857,J095959.6+014600,150.00507,1.76213,1.4662,-1.0,24.34,33,24.3,121.45
