,cluster_id,ra,dec,redshift,RV,r200,N200,sig200,M200,Rs,Ms,conc
0,1,230.65973,27.743846,0.07317685,21137.193,1.7588447,167,1042.086,1354718300000000.0,0.41,306094730000000.0,4.2898652
1,2,227.55402,33.498096,0.11390785,32215.073,1.5113488,63,926.75761,894721140000000.0,0.32,187999130000000.0,4.7229651
2,3,194.93502,27.912461,0.023372245,6924.962,1.54485,672,932.60305,875729550000000.0,0.33,185220870000000.0,4.6813636
3,4,258.20851,64.052953,0.080997,23301.868,1.4534098,155,881.24884,770246600000000.0,0.37,186458500000000.0,3.9281346
4,5,209.83093,27.968947,0.075065085,21661.524,1.4489923,77,842.65332,758855720000000.0,0.14,96598566000000.0,10.349945
5,6,227.73192,5.8229001,0.07835649,22572.973,1.43097,128,886.46345,733230760000000.0,1.13,545941960000000.0,1.2663452
6,7,255.65941,33.502777,0.0878143,25174.245,1.42325,84,887.63019,728121110000000.0,0.22,122858750000000.0,6.4693183
7,8,231.01218,29.888975,0.11375935,32175.564,1.3895132,80,860.21485,695211570000000.0,0.93,426450120000000.0,1.4941002
8,9,239.55991,27.216052,0.08978538,25713.057,1.3787041,150,838.20757,663152360000000.0,0.85,370912460000000.0,1.6220049
9,10,240.54984,15.91987,0.03702969,10895.82,1.4012284,299,771.32815,661833790000000.0,0.16,92595313000000.0,8.7576776
10,11,257.40317,34.467814,0.08488568,24371.573,1.3775478,93,846.59708,658316160000000.0,0.29,137739000000000.0,4.7501648
11,12,255.66803,34.04964,0.10016501,28531.626,1.3402046,72,833.34765,615403980000000.0,0.29,131417650000000.0,4.6213953
12,13,2.9386063,32.415657,0.1016675,28937.015,1.3219345,35,861.51117,591457720000000.0,0.15,82446623000000.0,8.812897
13,14,53.586472,-1.1657616,0.1380759,38560.086,1.2716682,28,878.38906,546172180000000.0,0.25,108709980000000.0,5.0866728
14,15,358.54379,-10.385219,0.07656306,22076.737,1.2839031,109,753.3177,528675230000000.0,0.36,138416660000000.0,3.5663975
15,16,10.400877,-9.3250982,0.05550725,16179.489,1.2786745,126,733.15143,511773340000000.0,0.4,146968100000000.0,3.1966862
16,17,247.18045,39.56877,0.03034889,8960.3673,1.2782219,283,718.28009,499270050000000.0,0.22,90526010000000.0,5.8100995
