,id,ra,dec,photo_z,density,overdensity,s_cluster,s_filament,environment,group_id,n_g,galaxy_type
1,894402,149.896779,2.654727,0.8807,7.92,3.23,0.451952,0.19283,cluster,3700.0,85.0,satellite
2,894397,149.680546,2.6563380000000003,0.4731,4.6,1.85,0.010858,0.011033,field,952.0,10.0,satellite
4,894341,149.519712,2.656165,0.7327,5.31,2.12,0.083006,0.121656,filament,2455.0,30.0,satellite
5,894322,150.34749,2.657566,0.9314,1.57,0.67,0.000334,0.003722,field,4267.0,11.0,satellite
16,894044,150.30243000000002,2.654069,0.2702,2.53,0.95,0.178231,0.44523900000000005,filament,160.0,11.0,satellite
17,894040,150.728455,2.656071,0.8467,6.62,2.64,0.254306,0.188091,cluster,2920.0,40.0,satellite
19,894005,149.916745,2.656007,1.115,7.19,3.54,0.21636599999999998,0.427771,filament,6279.0,15.0,satellite
20,954749,150.250341,2.752928,1.166,2.37,1.26,0.069511,0.18701600000000002,filament,6231.0,11.0,satellite
25,894504,150.580047,2.655477,0.8092,10.13,4.01,0.201472,0.187756,cluster,2978.0,22.0,satellite
27,895274,150.047806,2.659006,0.9615,1.51,0.65,0.0,0.02085,field,4098.0,15.0,satellite
30,895090,150.105622,2.6568549999999997,0.9807,7.69,3.31,0.172465,0.23351999999999998,filament,5014.0,10.0,satellite
31,895032,150.140298,2.6590279999999997,0.3488,9.25,3.69,0.7583770000000001,0.259817,cluster,357.0,65.0,satellite
34,894954,149.870772,2.65903,0.8785,2.74,1.12,0.0,0.078091,filament,3700.0,85.0,satellite
38,894850,150.408301,2.655363,0.23,5.81,2.1,0.705148,0.282403,cluster,101.0,34.0,satellite
40,894812,150.045398,2.658723,0.8186,4.7,1.86,0.019706,0.014721000000000001,field,2888.0,13.0,satellite
41,894809,150.742505,2.6569689999999997,0.8708,6.13,2.48,0.187557,0.162601,cluster,2920.0,40.0,satellite
43,894735,149.722928,2.6571689999999997,0.4782,3.04,1.22,0.005158,0.006169,field,952.0,10.0,satellite
45,894545,149.96012199999998,2.6563630000000003,0.8857,28.48,11.67,0.5908899999999999,0.45457299999999995,cluster,3953.0,33.0,satellite
47,895312,150.74340700000002,2.657857,0.8492,7.14,2.86,0.47464700000000004,0.388545,cluster,2920.0,40.0,satellite
48,954746,150.585763,2.7504,0.3454,3.71,1.48,0.09358999999999999,0.150246,filament,342.0,48.0,satellite
49,954709,150.44818899999999,2.750476,0.7931,31.18,12.29,0.498449,0.568055,filament,2774.0,90.0,satellite
52,316078,149.507545,1.7664400000000002,0.5773,18.18,7.64,0.720662,0.48209300000000005,cluster,1363.0,18.0,satellite
54,315902,150.17961200000002,1.767179,0.3528,17.2,6.89,0.5065069999999999,0.23102199999999998,cluster,362.0,62.0,satellite
55,315888,149.991795,1.7668669999999997,0.3361,3.54,1.41,0.06741799999999999,0.11895499999999999,filament,346.0,32.0,satellite
61,315406,150.377805,1.767798,0.9227,10.04,4.24,0.127661,0.165735,filament,4345.0,11.0,satellite
64,315333,150.168848,1.7652740000000002,0.3304,13.44,5.31,0.69502,0.48708,cluster,362.0,62.0,satellite
65,315292,150.39416699999998,1.767598,0.9141,2.5,1.05,0.047917,0.061592999999999995,filament,4345.0,11.0,satellite
69,315136,150.056768,1.7653130000000001,0.4209,2.69,1.1,0.17064400000000002,0.13064800000000001,cluster,621.0,16.0,satellite
71,316425,149.93913,1.7757189999999998,0.3502,3.41,1.36,0.026260000000000002,0.080978,filament,448.0,13.0,satellite
72,954730,149.855077,2.7519709999999997,0.8419,2.64,1.05,0.0055850000000000006,0.0369,filament,3571.0,10.0,satellite
