id,ra,dec,photo_z,density,overdensity,s_cluster,s_filament,environment,group_id,n_g,galaxy_type,flag
475717,150.506137,2.020739,0.7095,2.81,1.15,0.003375,0.007908,field,2383,5,satellite,0
894402,149.896779,2.654727,0.8807,7.92,3.23,0.451952,0.192830,cluster,3700,85,satellite,0
894397,149.680546,2.656338,0.4731,4.60,1.85,0.010858,0.011033,field,952,10,satellite,0
894342,150.138914,2.655970,0.5922,1.29,0.56,0.000092,0.031313,filament,1553,3,satellite,0
894341,149.519712,2.656165,0.7327,5.31,2.12,0.083006,0.121656,filament,2455,30,satellite,0
894322,150.347490,2.657566,0.9314,1.57,0.67,0.000334,0.003722,field,4267,11,satellite,0
894285,149.924651,2.657803,1.1799,5.72,3.12,0.158350,0.172047,filament,7015,8,satellite,0
894262,150.636642,2.657724,0.8665,2.03,0.82,0.011069,0.011884,field,3488,8,satellite,0
894190,150.002661,2.658130,1.1268,0.93,0.46,0.032162,0.060406,filament,6228,4,satellite,0
894187,150.671565,2.655489,0.6068,1.87,0.80,0.000296,0.001747,field,1694,3,satellite,0
894446,149.673129,2.657179,0.9555,2.66,1.14,0.030248,0.066753,filament,4744,7,satellite,0
894179,149.449904,2.656651,0.9530,6.30,2.71,0.103413,0.111459,filament,4948,5,satellite,0
894071,149.862349,2.654836,0.4138,2.83,1.15,0.055854,0.195649,filament,729,4,satellite,0
894059,150.104437,2.655842,0.2717,3.71,1.40,0.067767,0.343514,filament,195,5,satellite,0
894052,150.680543,2.656957,1.0067,6.34,2.74,0.130918,0.183941,filament,5221,8,satellite,0
894047,149.921995,2.657113,1.1843,5.78,3.19,0.140370,0.138475,field,7015,8,satellite,0
894044,150.302430,2.654069,0.2702,2.53,0.95,0.178231,0.445239,filament,160,11,satellite,0
894040,150.728455,2.656071,0.8467,6.62,2.64,0.254306,0.188091,cluster,2920,40,satellite,0
894010,150.302434,2.658045,1.1735,0.69,0.37,0.000000,0.000210,field,6839,3,satellite,0
894005,149.916745,2.656007,1.1150,7.19,3.54,0.216366,0.427771,filament,6279,15,satellite,0
954749,150.250341,2.752928,1.1660,2.37,1.26,0.069511,0.187016,filament,6231,11,satellite,0
894156,150.593619,2.655933,0.6178,2.61,1.12,0.000000,0.131014,filament,1747,2,satellite,0
894447,150.013767,2.657607,0.9920,5.92,2.54,0.042324,0.086220,filament,5422,4,satellite,0
954748,150.304954,2.750510,0.6506,1.52,0.64,0.000000,0.321907,filament,1932,2,satellite,0
894488,149.967957,2.657385,0.6976,3.68,1.51,0.012845,0.017375,field,2263,9,satellite,0
894504,150.580047,2.655477,0.8092,10.13,4.01,0.201472,0.187756,cluster,2978,22,satellite,0
895275,150.406199,2.657608,0.5226,1.59,0.63,0.039642,0.024226,field,1258,2,satellite,0
895274,150.047806,2.659006,0.9615,1.51,0.65,0.000000,0.020850,field,4098,15,satellite,0
895212,150.698451,2.658701,0.9963,3.29,1.42,0.152685,0.116317,field,5221,8,satellite,0
895159,149.766272,2.657709,0.6987,1.52,0.62,0.000488,0.001539,field,2407,2,satellite,0
