,gal_id,mag_auto,ra,dec,sm,sm_err,zphot,zphot_errlo,zphot_errhi,mmggs,p_mem,group_id,group_flag,dist_mmggs,mmggs_zbest,p_mem_zbest,group_id_zbest,group_flag_zbest,dist_mmggs_zbest,mnuv_mr
158,151638,23.91,150.407121,1.83822,9.24,0.252,1.0290000000000001,1.0190000000000001,1.053,0,0.68,40.0,1,0.616,0,0.68,40.0,1,0.616,-0.134
160,151636,23.66,150.40977900000001,1.851822,9.9,0.174,1.014,0.955,1.03,0,0.79,40.0,1,0.17800000000000002,0,0.79,40.0,1,0.17800000000000002,0.5670000000000001
162,151631,24.12,150.410013,1.849387,8.75,0.10300000000000001,0.956,0.937,0.9790000000000001,0,0.81,40.0,1,0.149,0,0.81,40.0,1,0.149,0.851
163,151630,24.18,150.410987,1.853978,10.58,0.038,0.963,0.932,1.005,0,0.79,40.0,1,0.21,0,0.79,40.0,1,0.21,1.818
168,151617,22.76,150.4116,1.851908,9.78,0.051,0.945,0.935,0.956,0,0.7,40.0,1,0.114,0,0.68,40.0,1,0.114,0.299
174,151606,22.44,150.412969,1.853936,11.01,0.10099999999999999,1.005,0.982,1.036,0,0.71,40.0,1,0.182,0,0.71,40.0,1,0.182,3.7460000000000004
176,151603,23.06,150.41206200000002,1.8471240000000002,9.81,0.218,0.938,0.9259999999999999,0.958,0,0.64,40.0,1,0.14400000000000002,0,0.61,40.0,1,0.14400000000000002,0.851
180,151594,22.95,150.41298999999998,1.8495849999999998,10.89,0.125,0.982,0.97,0.997,0,0.86,40.0,1,0.022000000000000002,0,0.9,40.0,1,0.022000000000000002,4.013999999999999
181,151592,22.03,150.41315600000001,1.850021,11.33,0.055,0.9890000000000001,0.98,0.998,1,0.71,40.0,1,0.0,1,0.71,40.0,1,0.0,4.537
190,151580,20.08,150.413872,1.84759,11.12,0.15,0.9890000000000001,0.982,0.997,0,0.99,40.0,1,0.11800000000000001,0,0.99,40.0,1,0.11800000000000001,1.396
193,151577,23.98,150.414858,1.848684,10.39,0.076,1.05,0.988,1.104,0,0.7,40.0,1,0.10099999999999999,0,0.7,40.0,1,0.10099999999999999,1.818
194,151572,23.45,150.41481299999998,1.846739,10.35,0.069,0.986,0.9640000000000001,1.006,0,0.86,40.0,1,0.171,0,0.86,40.0,1,0.171,3.236
206,151551,24.12,150.417698,1.853221,9.86,0.10300000000000001,0.917,0.835,0.978,0,0.69,40.0,1,0.258,0,0.69,40.0,1,0.258,1.818
208,151545,23.46,150.416905,1.8441130000000001,9.65,0.174,0.973,0.9540000000000001,0.998,0,0.86,40.0,1,0.325,0,0.86,40.0,1,0.325,0.535
209,151542,23.07,150.416854,1.8430939999999998,9.96,0.045,0.9329999999999999,0.82,0.975,0,0.65,40.0,1,0.365,0,0.62,40.0,1,0.365,0.866
226,151515,24.06,150.417908,1.829941,9.18,0.233,0.912,0.867,0.937,0,0.61,40.0,1,0.958,0,0.61,40.0,1,0.958,0.866
279,76382,23.05,150.00126699999998,2.308306,9.57,0.182,0.945,0.929,0.961,0,0.74,150.0,1,0.736,0,0.77,150.0,1,0.736,0.851
286,76396,22.85,149.990971,2.259594,10.29,0.055999999999999994,0.628,0.609,0.654,0,0.16,303.0,1,0.141,0,0.16,303.0,1,0.141,2.4530000000000003
287,76401,21.21,149.990979,2.263643,11.08,0.14300000000000002,0.657,0.643,0.669,0,0.71,303.0,1,0.284,0,0.65,303.0,1,0.284,4.728
292,76414,23.91,149.99653700000002,2.300929,9.29,0.109,0.8640000000000001,0.828,0.919,0,0.59,150.0,1,0.821,0,0.59,150.0,1,0.821,0.042
299,76427,21.67,149.987109,2.264423,10.15,0.040999999999999995,0.7190000000000001,0.7070000000000001,0.735,0,0.01,303.0,1,0.433,0,0.0,,0,,0.348
303,76432,22.75,149.993933,2.307755,9.69,0.168,0.9109999999999999,0.887,0.932,0,0.72,150.0,1,0.48,0,0.75,150.0,1,0.48,0.57
316,76461,23.79,149.988668,2.307082,9.36,0.10300000000000001,0.934,0.903,0.958,0,0.74,150.0,1,0.414,0,0.74,150.0,1,0.414,0.153
321,76467,23.67,149.98091599999998,2.268061,8.67,0.055,0.657,0.617,0.6890000000000001,0,0.28,303.0,1,0.7829999999999999,0,0.28,303.0,1,0.7829999999999999,0.517
