ra,dec,redshift,brightness,richness,total_N,gal_id,cluster_id
150.46842351,2.03291935,0.3185,-21.55,14.0,50.0,483025.0,4116.0
150.19510518,1.77351446,0.34,-22.14,14.0,50.0,320532.0,3883.0
150.14545149,2.05383559,0.3737,-21.51,10.0,52.0,498098.0,5814.0
149.81113969999998,2.25248878,0.38,-22.68,13.0,64.0,628153.0,3978.0
149.47081255,2.44250583,0.4784,-22.99,12.0,53.0,755108.0,3875.0
150.11257822,2.5560953,0.5,-23.61,15.0,51.0,827001.0,4092.0
150.21038747,1.81648749,0.5305,-22.46,15.0,63.0,348419.0,3859.0
149.52361555,1.75897202,0.5609,-23.43,15.0,64.0,309192.0,4181.0
149.61660088,1.73970069,0.5766,-23.16,12.0,53.0,299911.0,4395.0
150.56773412,2.61361566,0.61,-23.58,10.0,53.0,868440.0,5219.0
150.58555222,2.47395421,0.6104,-22.59,8.0,71.0,776141.0,5211.0
149.94568689,2.50416122,0.6505,-21.89,8.0,55.0,794512.0,5851.0
150.14812325,2.51784537,0.6516,-23.11,16.0,78.0,804406.0,3965.0
149.63358838,1.90317999,0.6551,-22.75,8.0,54.0,403885.0,4883.0
149.76667507,1.75572328,0.6605,-21.28,9.0,59.0,310355.0,5647.0
149.75427342,1.96909876,0.6616,-21.76,8.0,56.0,444807.0,5639.0
149.72485989,1.87606749,0.6695,-22.07,10.0,58.0,386871.0,4726.0
149.98904286,2.58776177,0.6697,-22.9,8.0,60.0,850661.0,1873.0
149.98288469,2.46697024,0.6753,-23.01,11.0,55.0,771266.0,6283.0
150.06366704,2.61563238,0.6754,-22.12,16.0,57.0,868297.0,4876.0
150.05775592,2.61029904,0.68,-23.01,15.0,61.0,866167.0,3676.0
150.09239921,2.19362661,0.6801,-22.95,14.0,64.0,590057.0,4113.0
149.93338399,2.47709838,0.6826,-22.94,8.0,68.0,778156.0,3695.0
150.30678055,2.41578251,0.6935,-22.34,11.0,51.0,738224.0,4693.0
150.17259634,2.52333517,0.6946,-22.78,16.0,59.0,809179.0,3815.0
149.90817715,2.53063046,0.6995,-22.26,11.0,70.0,812477.0,57.0
150.06152819,2.64724138,0.7071,-23.33,9.0,58.0,888781.0,1974.0
150.14115086,2.06964664,0.7139,-22.1,12.0,54.0,508709.0,5820.0
150.11775017,2.26676893,0.7179,-23.0,10.0,55.0,639237.0,5392.0
150.05668881,2.30139264,0.7249,-23.11,8.0,53.0,661723.0,4449.0
150.12660826,2.70807654,0.7286,-22.63,10.0,50.0,929232.0,5834.0
150.11236456,2.52428634,0.7341,-21.73,8.0,53.0,807662.0,7142.0
150.01208582,2.45907753,0.7353,-22.83,12.0,51.0,765830.0,3714.0
150.0292913,2.69014135,0.7357,-22.81,10.0,56.0,917600.0,4460.0
149.87200097,2.53308521,0.7534,-22.31,9.0,59.0,814076.0,5875.0
150.54248979,2.18504396,0.8031,-22.25,12.0,70.0,583665.0,1351.0
149.58870430000002,2.41197996,0.8049,-20.67,9.0,60.0,733452.0,7140.0
150.55976543,2.6533078,0.8051,-22.59,11.0,60.0,892536.0,963.0
150.51040451,2.652951,0.8105,-22.92,9.0,56.0,893594.0,5337.0
150.40743015,1.80319538,0.8111,-22.83,11.0,66.0,340519.0,5214.0
150.55867024,2.65458886,0.8176,-23.38,12.0,58.0,894148.0,3959.0
150.36932356,1.99948478,0.8224,-23.43,15.0,82.0,463397.0,3651.0
150.21844026,2.05774908,0.83,-23.79,10.0,64.0,498357.0,4443.0
149.97587764,2.35201979,0.8304,-21.79,8.0,54.0,695130.0,7171.0
149.50306143,2.33521521,0.8370000000000001,-23.32,9.0,51.0,685216.0,5778.0
150.43769757,1.79884338,0.8397,-21.17,8.0,55.0,336371.0,3587.0
150.15746339,2.40648791,0.8399,-22.37,11.0,50.0,732179.0,5502.0
149.88964932,2.29686455,0.8452,-21.54,11.0,57.0,656910.0,6279.0
150.56193180000002,2.19196986,0.8471,-22.35,18.0,58.0,587681.0,5789.0
150.02694677,2.18814397,0.8491,-22.35,9.0,54.0,585020.0,5289.0
150.16879738,2.3154702,0.8534,-22.78,9.0,56.0,669409.0,6827.0
150.34318936,1.88859884,0.8559,-21.61,9.0,56.0,393550.0,5290.0
149.77061105,2.68677029,0.8571,-22.84,8.0,53.0,914342.0,7164.0
150.43662228,1.96620848,0.86,-22.96,18.0,54.0,443074.0,4065.0
150.45340362,2.14294435,0.8613,-22.76,11.0,71.0,555663.0,4050.0
149.77985064,2.73180495,0.8618,-21.99,8.0,60.0,943099.0,7160.0
150.09187754,2.53867178,0.8625,-22.72,11.0,50.0,817724.0,3951.0
150.55851638,2.21081764,0.8656,-21.75,8.0,56.0,601913.0,3164.0
149.65259746,2.24956512,0.8703,-23.32,8.0,55.0,627633.0,5428.0
150.54220983,2.48667963,0.8705,-22.61,12.0,50.0,783666.0,4359.0
150.24211401,1.79995156,0.8734,-21.74,8.0,51.0,336767.0,5580.0
150.22816467,2.22563896,0.8751,-22.42,8.0,81.0,610905.0,3591.0
149.92928346,2.40897988,0.8778,-23.52,13.0,60.0,733907.0,3788.0
150.45032121,2.14266703,0.8799,-22.98,12.0,61.0,555599.0,3871.0
149.91381485,2.38189144,0.8802,-23.24,8.0,53.0,715296.0,5342.0
150.05087837,2.29419734,0.8862,-21.87,8.0,50.0,655668.0,5977.0
149.79258779,2.22739091,0.8907,-22.76,11.0,53.0,612481.0,1877.0
150.44971328,2.15923202,0.8925,-22.5,8.0,58.0,566378.0,679.0
149.86310952,2.54471014,0.8937,-22.85,10.0,58.0,822300.0,5259.0
150.15781324,2.32927932,0.8942,-21.99,8.0,72.0,679881.0,7105.0
150.22519526,2.14511341,0.8981,-22.19,8.0,51.0,556185.0,5943.0
149.94839664,2.42274038,0.9,-22.14,9.0,61.0,741720.0,4863.0
150.42003156,2.51410005,0.9001,-22.46,13.0,63.0,801102.0,3792.0
149.73157993,2.24370283,0.9009999999999999,-21.07,8.0,62.0,621782.0,7108.0
150.09094265,2.19874324,0.9018,-21.38,8.0,50.0,590674.0,3276.0
150.15810283,2.40461949,0.9021,-22.69,11.0,63.0,730669.0,417.0
150.53011835,2.01109767,0.9079999999999999,-22.25,8.0,50.0,470075.0,5925.0
150.10200609,2.52725893,0.9129999999999999,-21.96,15.0,89.0,809469.0,4311.0
150.22082616,2.18980785,0.9178,-21.57,9.0,69.0,586522.0,6310.0
150.41224364,2.73737227,0.9184,-23.06,10.0,59.0,946877.0,5275.0
150.20746841,2.28188455,0.9194,-22.81,8.0,57.0,647381.0,4184.0
150.26111222,2.03134082,0.9195,-22.77,9.0,68.0,482409.0,6796.0
150.26444444,1.90015336,0.9195,-22.26,8.0,52.0,400693.0,5269.0
150.02383067,2.20321087,0.9232,-24.04,12.0,53.0,597276.0,78.0
150.38045351,2.09403994,0.9285,-22.13,9.0,75.0,522090.0,2999.0
150.42648439,2.51566904,0.9288,-22.6,10.0,50.0,803290.0,6888.0
150.23496569999998,1.74396635,0.9296,-22.92,15.0,52.0,302184.0,4118.0
150.07133659,2.63569351,0.9308,-23.16,15.0,55.0,882552.0,4283.0
149.51919148,2.26539166,0.9323,-23.14,14.0,75.0,637488.0,4094.0
150.43831504,2.15649917,0.9342,-21.62,12.0,55.0,563721.0,5709.0
149.99943878,2.5087705000000002,0.9358,-22.69,11.0,53.0,798287.0,5258.0
150.23498089,2.73652621,0.9359999999999999,-22.92,11.0,55.0,946007.0,4642.0
149.85995134,2.1933594,0.9395,-23.15,8.0,73.0,588407.0,4073.0
149.61832158,2.30168484,0.9407,-21.75,8.0,65.0,659730.0,4213.0
150.28414233,1.87525334,0.9434,-22.6,9.0,61.0,385076.0,2949.0
150.14635029,2.69213013,0.9455,-23.31,10.0,54.0,919377.0,5680.0
