ra,dec,redshift,brightness,LR,N(0.5),total_N,gal_id,cluster_id
150.21038747,1.81648749,0.5305,-22.46,29.59,19,62,348419.0,94.0
150.14812325,2.51784537,0.6516,-23.11,29.87,18,61,804406.0,75.0
149.63358838,1.90317999,0.6551,-22.75,29.72,14,52,403885.0,138.0
149.76667507,1.75572328,0.6605,-21.28,29.45,13,62,310355.0,167.0
150.00381587,2.11456673,0.6664,-22.28,29.65,11,59,536438.0,197.0
150.18997485,2.15533785,0.6686,-22.91,29.78,21,76,564353.0,102.0
149.72485989,1.87606749,0.6695,-22.07,29.77,16,50,386871.0,132.0
150.05775592,2.61029904,0.68,-23.01,29.83,23,73,866167.0,74.0
149.91320934,2.51219989,0.7179,-23.48,30.02,50,133,801764.0,60.0
150.05668881,2.30139264,0.7249,-23.11,29.87,21,68,661723.0,81.0
149.85012465,2.39282188,0.728,-22.44,29.58,14,51,721902.0,154.0
150.55976543,2.6533078,0.8051,-22.59,29.62,18,63,892536.0,85.0
150.4789936,2.56802647,0.8074,-22.83,29.74,13,52,838958.0,258.0
150.36828588,2.15425932,0.8147,-23.07,29.94,11,50,563904.0,165.0
150.36932356,1.99948478,0.8224,-23.43,29.96,23,69,463397.0,70.0
150.50503624,2.22506954,0.825,-23.98,30.19,28,92,611604.0,66.0
149.55284532,2.42821548,0.8251,-22.5,30.13,19,70,745476.0,84.0
150.33672932,1.89986145,0.8274,-21.49,29.21,11,51,399876.0,224.0
150.68423832,2.40765001,0.8277,-22.87,29.77,15,55,732178.0,7.0
149.97195383,2.32126994,0.8388,-22.19,29.63,9,51,673479.0,287.0
150.41722064,1.97600944,0.8424,-22.91,29.77,19,53,446194.0,101.0
150.30882677,2.08215249,0.8559,-22.93,30.2,11,51,515836.0,346.0
150.45340362,2.14294435,0.8613,-22.76,29.71,14,63,555663.0,144.0
150.2148294,2.28668901,0.8623,-22.99,29.9,16,64,651583.0,105.0
149.92928346,2.40897988,0.8778,-23.52,30.01,15,51,733907.0,100.0
150.45032121,2.14266703,0.8799,-22.98,29.9,21,50,555599.0,82.0
149.91578217,2.66231579,0.8875,-23.25,30.3,26,112,899129.0,65.0
149.51913725,1.96486393,0.9,-23.16,30.18,12,56,441796.0,241.0
150.48947929,2.40282746,0.9002,-22.0,29.68,11,53,728557.0,150.0
150.16191446,2.60126126,0.9034,-22.86,29.75,22,64,859951.0,78.0
150.21565489,2.39564389,0.9073,-22.52,29.61,28,82,724007.0,68.0
150.09869127,2.54065043,0.9076,-22.69,30.2,27,92,819831.0,63.0
149.67515405,2.25768681,0.9178,-23.31,30.25,17,62,632848.0,76.0
149.92949909,2.11062988,0.9268,-22.87,29.86,15,50,533277.0,243.0
150.15173234,2.18868711,0.93,-22.81,30.25,25,73,586264.0,69.0
149.8940368,2.21576634,0.9327,-22.22,29.81,17,80,603127.0,109.0
149.98778494,2.31570279,0.9374,-23.16,29.87,34,130,671284.0,64.0
150.19485524,2.07344069,0.9375,-23.48,29.99,17,80,509626.0,90.0
150.29329688,2.0115088,0.9386,-22.8,29.72,20,75,470997.0,0.0
150.02981877,2.20741551,0.9447,-22.99,29.81,34,105,598223.0,62.0
149.5103104,2.26011034,0.9472,-23.03,29.83,16,52,634563.0,112.0
150.41059221,2.07982573,0.9494,-22.48,30.01,12,71,513930.0,122.0
149.75529759,2.27057977,0.9496,-22.36,30.26,14,53,640478.0,162.0
149.59094789,2.53384455,0.9579,-22.6,30.16,10,60,814122.0,339.0
149.61761683,2.11578398,0.9586,-23.66,30.45,22,87,537719.0,67.0
150.3687439,1.96479977,0.9612,-23.08,29.85,14,53,441581.0,250.0
149.7668221,2.29499445,0.9613,-21.22,29.11,17,66,655911.0,123.0
149.64156452,2.33341567,0.9628,-23.44,29.99,27,104,682941.0,73.0
149.82986382,2.57331111,0.9636,-22.66,30.29,19,53,842330.0,71.0
149.65079521,2.21077102,0.9646,-22.08,29.44,22,86,599854.0,80.0
149.48146525,2.00626635,0.9713,-23.58,30.03,30,70,468056.0,61.0
150.41356154,2.49796987,0.9724,-21.45,29.71,12,57,789648.0,242.0
150.10490959,2.70481796,0.9729,-21.46,29.38,8,56,925296.0,382.0
150.6632509,2.20074148,0.9729,-22.41,30.09,14,61,593228.0,140.0
150.49592305,2.45526167,0.9742,-22.01,29.43,15,55,762638.0,196.0
149.94638894,2.6872318,0.9747,-22.94,29.76,12,56,914639.0,120.0
150.29564681,2.0349543,0.9761,-22.96,29.79,14,54,484128.0,186.0
150.23298623,1.73956539,0.9783,-23.31,29.91,12,52,299267.0,181.0
150.67960883,2.22264058,0.981,-23.13,29.86,17,59,609702.0,2.0
149.85360769,2.5854975,0.9861,-23.57,30.04,16,59,848867.0,5.0
150.1250261,2.71547326,0.99,-22.7,29.7,10,54,932982.0,192.0
149.7525381,2.21403636,1.0038,-23.59,30.55,14,70,603983.0,92.0
149.89922325,2.32828583,1.0049,-22.51,29.61,14,62,679197.0,173.0
149.78002124,2.30235775,1.0068,-23.59,30.05,21,85,663215.0,104.0
150.71477484,2.29328044,1.0705,-23.82,30.23,11,50,656862.0,278.0
150.66383728,2.36778447,1.082,-23.67,30.19,9,51,706876.0,297.0
149.90963199,2.66517436,1.1195,-22.41,29.8,18,52,899579.0,87.0
149.75642079,2.29050348,1.1247,-21.86,29.86,9,50,652749.0,280.0
150.33277832,2.75013133,1.1336,-23.13,30.16,16,53,954095.0,200.0
150.34811758,1.96449555,1.1406,-21.2,29.28,19,72,439981.0,88.0
150.56589042,2.49644973,1.1427,-23.89,30.17,15,74,790959.0,3.0
149.63994819,1.91578884,1.1516,-21.74,29.88,12,52,409950.0,365.0
149.84903087,2.29927697,1.1578,-23.14,29.88,13,60,660085.0,157.0
150.36097761,1.95433704,1.1662,-23.58,30.04,18,68,435503.0,79.0
149.62169258,2.12263913,1.1816,-22.99,29.79,13,54,540746.0,130.0
149.59498529,2.43892471,1.1872,-22.53,29.63,8,55,751329.0,247.0
150.12317301,1.99741022,1.1903,-24.51,30.42,20,79,462521.0,96.0
149.63668527,2.34184113,1.1907,-22.79,29.73,13,57,687614.0,199.0
149.53819267,2.27602213,1.1958,-21.93,29.9,12,58,643933.0,175.0
149.89265042,2.26904484,1.1962,-23.34,29.96,11,61,639828.0,115.0
150.15047414,1.99640668,1.1962,-22.37,30.27,13,62,459712.0,99.0
150.15708603,2.06684089,1.2116,-23.55,30.06,9,51,506684.0,356.0
149.86927632,2.06560208,1.2181,-23.63,30.07,17,79,505112.0,77.0
150.38219912,1.92836169,1.2256,-22.19,29.49,14,50,417745.0,244.0
150.46218105,1.76631639,1.228,-22.04,29.84,15,51,314828.0,9.0
150.00273521,2.67487618,1.2309,-23.85,30.42,18,71,907103.0,97.0
150.48824223,2.01403905,1.2339,-23.06,30.13,11,58,472152.0,131.0
149.50433133,2.11068641,1.2369,-23.65,30.16,13,62,534031.0,10.0
150.32940993,2.27313354,1.2403,-22.55,29.92,10,50,641834.0,292.0
149.88744453,2.23699822,1.2403,-22.63,30.24,14,59,617416.0,260.0
149.65979334,2.07504178,1.242,-23.43,29.99,19,98,511570.0,72.0
150.30385296,2.55967206,1.2423,-22.76,29.7,14,54,831521.0,118.0
150.61349817,1.99946221,1.2538,-23.26,29.91,18,52,462463.0,129.0
150.25709639,2.37747812,1.2565,-21.91,29.76,15,53,711308.0,231.0
150.55397956,2.06319725,1.2587,-21.99,29.74,14,66,502618.0,13.0
150.25753196,2.68660912,1.2605,-22.87,29.78,20,61,913907.0,83.0
150.38366851,2.48265156,1.2621,-22.17,29.5,15,56,779799.0,245.0
150.39741668,2.65065911,1.2692,-22.47,29.99,11,53,890125.0,152.0
150.63047474,2.55632864,1.2719,-22.87,30.08,14,50,829141.0,315.0
150.25146679,2.70474395,1.2896,-22.79,29.95,17,68,925669.0,141.0
149.94653916,2.66313341,1.2941,-21.98,29.8,17,54,898248.0,119.0
150.09010031,2.71498435,1.3121,-23.62,30.46,14,50,933177.0,153.0
149.92728848,2.66025057,1.337,-22.45,29.59,9,50,895774.0,178.0
149.98438567,2.67015397,1.3419,-23.23,30.51,10,53,902618.0,139.0
150.32526507,2.5732069,1.3592,-23.08,30.23,17,56,840964.0,91.0
149.82153565,1.90698821,1.3685,-22.73,29.72,18,58,404563.0,137.0
149.84280739,1.80074819,1.3961,-22.65,29.97,10,53,338217.0,156.0
150.21025938,2.56551221,1.4008,-23.85,30.83,16,50,835513.0,1.0
149.86660502,2.06429647,1.4052,-22.46,29.57,16,58,503954.0,121.0
149.85579746,2.13018286,1.4239,-23.46,30.31,20,62,546379.0,98.0
149.64816512,1.84186511,1.4397,-23.23,30.23,9,54,364931.0,374.0
149.7729827,1.82039901,1.4479,-22.16,29.59,16,60,349597.0,6.0
150.04186381,2.65234086,1.4482,-23.75,30.09,10,50,891406.0,348.0
150.40844487,2.44328689,1.4488,-22.23,29.68,9,50,754349.0,53.0
150.49496681,2.5753249,1.4536,-22.46,29.6,10,50,842485.0,495.0
149.95988872,2.32811063,1.4546,-23.21,29.89,14,62,678400.0,108.0
149.83432246,1.83817622,1.4612,-22.69,30.09,12,57,360976.0,256.0
149.50829451,2.19879427,1.4622,-23.81,30.42,9,51,591889.0,428.0
150.55264477,2.21803535,1.465,-21.38,29.28,13,56,604265.0,195.0
150.40661326,2.08069716,1.4714,-21.5,29.63,10,50,513227.0,516.0
150.15631315,1.95046077,1.4747,-22.79,30.18,11,51,431761.0,319.0
