ra,dec,redshift,brightness,LR,N(0.5),total_N,gal_id,cluster_id
150.11550586,2.62111666,0.5065,-20.85,29.06,11,44,871321.0,620.0
150.29962546,1.67715711,0.5231,-22.89,29.79,20,40,261108.0,302.0
150.21038747,1.81648749,0.5305,-22.46,29.59,19,61,348419.0,173.0
150.46449749,2.05995909,0.5417,-23.52,30.03,24,46,497616.0,159.0
149.52361555,1.75897202,0.5609,-23.43,29.99,17,56,309192.0,292.0
149.61938099,1.73543421,0.59,-23.16,29.88,11,50,292852.0,490.0
150.56773412,2.61361566,0.61,-23.58,30.15,12,47,868440.0,230.0
150.53837834,2.76411026,0.6141,-21.24,29.1,8,40,962538.0,1038.0
150.64772399,2.72774745,0.6143,-22.63,30.09,12,49,941406.0,458.0
150.49497258,2.44798142,0.6416,-21.3,29.28,8,40,758822.0,1034.0
150.14812325,2.51784537,0.6516,-23.11,29.87,20,76,804406.0,153.0
149.63358838,1.90317999,0.6551,-22.75,29.72,15,56,403885.0,221.0
149.76667507,1.75572328,0.6605,-21.28,29.45,12,72,310355.0,254.0
150.00381587,2.11456673,0.6664,-22.28,29.65,11,66,536438.0,287.0
150.25256255,1.97188679,0.6671,-22.03,29.54,10,45,446696.0,398.0
149.94669346,2.31718531,0.6678,-20.73,29.87,8,47,671274.0,668.0
150.49971995,2.45529736,0.6678,-21.9,29.37,9,40,762935.0,1035.0
150.18997485,2.15533785,0.6686,-22.91,29.78,22,82,564353.0,182.0
149.72485989,1.87606749,0.6695,-22.07,29.77,16,56,386871.0,214.0
149.58656808,1.69678347,0.67,-22.57,29.65,8,40,273468.0,983.0
149.76534039,2.00047647,0.6703,-22.34,29.57,12,53,464121.0,255.0
149.51687717,2.03091733,0.6727,-22.42,29.58,9,44,482605.0,816.0
150.5344898,1.97743505,0.6742,-23.34,29.95,9,44,446301.0,878.0
149.89363397,2.56300425,0.6762,-21.66,29.29,12,69,833286.0,243.0
149.99407478,2.44853834,0.6775,-22.6,29.97,9,43,756728.0,418.0
150.05775592,2.61029904,0.68,-23.01,29.83,23,77,866167.0,152.0
149.66774979,2.27366808,0.68,-23.31,29.94,18,45,643306.0,198.0
150.09239921,2.19362661,0.6801,-22.95,29.81,16,52,590057.0,217.0
150.32820645,2.39667926,0.6917,-22.16,30.21,8,48,725512.0,375.0
150.30678055,2.41578251,0.6935,-22.34,29.56,10,42,738224.0,267.0
150.17259634,2.52333517,0.6946,-22.78,29.73,16,56,809179.0,197.0
149.6731417,2.25278122,0.6963,-22.33,29.56,9,40,629748.0,859.0
150.50761426,1.96127232,0.7086,-21.78,29.78,9,42,438910.0,576.0
150.27956076,2.34298836,0.7164,-21.33,29.48,9,43,688325.0,801.0
149.91320934,2.51219989,0.7179,-23.48,30.02,50,135,801764.0,138.0
150.16705421,1.97243187,0.7197,-22.45,29.7,8,40,446536.0,979.0
150.0949864,2.21360107,0.7229,-22.26,29.84,10,46,603117.0,559.0
150.05668881,2.30139264,0.7249,-23.11,29.87,21,70,661723.0,160.0
149.85012465,2.39282188,0.728,-22.44,29.58,14,62,721902.0,239.0
150.0292913,2.69014135,0.7357,-22.81,30.04,15,52,917600.0,262.0
150.59968,2.13848351,0.7387,-22.17,30.01,14,43,552091.0,376.0
150.72392111,2.42526576,0.7506,-21.63,29.71,13,40,743156.0,34.0
149.80424468,1.75089212,0.7528,-20.99,29.87,9,40,305606.0,94.0
149.69756318,2.26406351,0.79,-21.04,29.35,9,44,636435.0,753.0
150.42447032,2.77366279,0.7909,-23.36,30.09,12,52,969859.0,185.0
150.67071186,2.13280869,0.8013,-20.87,29.5,9,42,547130.0,911.0
150.45631191,2.57139658,0.8021,-20.99,29.24,18,44,838920.0,4.0
150.55976543,2.6533078,0.8051,-22.59,29.62,20,70,892536.0,164.0
150.63149832,2.46831687,0.8061,-21.78,29.61,12,45,771212.0,326.0
150.23783579,2.05116252,0.8123,-20.17,28.67,10,45,494017.0,788.0
150.3942398,1.85228419,0.8129,-21.4,29.56,12,40,370432.0,594.0
149.98319776,2.31890971,0.8145,-21.97,29.51,8,40,672310.0,646.0
150.36828588,2.15425932,0.8147,-23.07,29.94,12,59,563904.0,252.0
150.39077663,1.78912306,0.8196,-21.65,29.67,12,55,329797.0,415.0
149.71951078,2.29675319,0.82,-22.32,29.63,8,41,658583.0,907.0
150.39773126,2.77001606,0.8201,-23.22,29.9,12,40,966361.0,299.0
150.33872964,2.59323435,0.8211,-22.51,30.24,9,40,853769.0,1050.0
150.36932356,1.99948478,0.8224,-23.43,29.96,24,80,463397.0,148.0
149.48428812,2.26208971,0.8245,-21.97,29.7,9,46,634863.0,428.0
150.50503624,2.22506954,0.825,-23.98,30.19,28,95,611604.0,144.0
149.55284532,2.42821548,0.8251,-22.5,30.13,20,75,745476.0,163.0
150.33672932,1.89986145,0.8274,-21.49,29.21,10,54,399876.0,329.0
150.68423832,2.40765001,0.8277,-22.87,29.77,15,57,732178.0,13.0
150.13676125,1.88049967,0.8278,-22.65,29.67,13,41,389394.0,35.0
149.57425483,2.20155099,0.8299,-23.11,29.84,10,45,595730.0,782.0
150.21844026,2.05774908,0.83,-23.79,30.12,16,44,498357.0,7.0
150.66156888,1.92556291,0.8309,-23.1,29.85,14,41,417713.0,849.0
150.11858002,2.22309668,0.8351,-22.23,29.59,9,46,609077.0,289.0
150.37245448,2.39755754,0.8359,-21.95,29.79,9,40,724917.0,100.0
149.65639488,2.25297895,0.8361,-21.67,29.67,10,45,628518.0,981.0
150.20878049,2.28280297,0.8402,-21.38,29.52,16,60,648809.0,186.0
150.00204485,2.33226322,0.8411,-22.33,29.65,9,47,681845.0,399.0
150.41722064,1.97600944,0.8424,-22.91,29.77,19,60,446194.0,181.0
149.65738158,2.71676189,0.8477,-22.3,29.93,13,41,933731.0,456.0
149.72400626,2.6980751,0.8484,-22.41,29.98,11,40,922171.0,410.0
150.64063,2.63698807,0.8503,-23.07,29.94,8,43,883453.0,683.0
149.84038154,2.16410468,0.8534,-21.87,29.37,11,41,568990.0,928.0
150.19085747,2.40869542,0.8537,-22.33,29.84,12,43,733200.0,316.0
150.01265366,2.19829836,0.8538,-22.24,29.63,12,46,591397.0,533.0
150.14262759,2.19698973,0.8568,-22.41,30.08,12,49,591055.0,342.0
150.28891746,2.0696133,0.8601,-22.47,30.12,13,47,507690.0,38.0
150.45340362,2.14294435,0.8613,-22.76,29.71,14,72,555663.0,228.0
150.2148294,2.28668901,0.8623,-22.99,29.9,17,69,651583.0,184.0
149.7162557,2.71096013,0.8628,-21.99,29.79,14,47,930844.0,268.0
150.30541743,1.87956793,0.8632,-22.64,29.67,9,59,388514.0,608.0
150.43263552,2.68713026,0.8637,-21.33,29.27,11,45,914460.0,331.0
150.14946378,1.8783927,0.865,-21.45,29.61,11,41,386803.0,739.0
149.47364251,2.26618958,0.8655,-22.94,30.08,12,46,638421.0,411.0
150.53690147,2.07603675,0.8699,-23.39,29.95,12,57,512320.0,272.0
149.54958473,1.99398867,0.8703,-23.63,30.05,18,42,459784.0,174.0
150.54220983,2.48667963,0.8705,-22.61,29.64,17,48,783666.0,274.0
150.24211401,1.79995156,0.8734,-21.74,29.42,9,42,336767.0,874.0
150.5373701,2.66977258,0.8736,-23.03,29.81,14,55,902760.0,263.0
150.28346174,1.7308513,0.8748,-22.96,29.79,8,47,294647.0,884.0
150.02995965,2.25513104,0.8778,-21.66,29.38,9,43,629928.0,694.0
149.92928346,2.40897988,0.8778,-23.52,30.01,15,56,733907.0,180.0
149.83824514,2.768685,0.8788,-23.19,30.02,12,44,966343.0,421.0
150.45032121,2.14266703,0.8799,-22.98,29.9,22,53,555599.0,161.0
150.32189329,2.12848958,0.8853,-21.23,29.21,9,41,544229.0,625.0
150.05087837,2.29419734,0.8862,-21.87,29.49,11,43,655668.0,660.0
149.91578217,2.66231579,0.8875,-23.25,30.3,26,118,899129.0,143.0
149.75677571,2.57382186,0.889,-22.09,29.68,10,44,841146.0,527.0
150.4451785,1.84540541,0.8905,-22.81,29.72,20,43,366169.0,195.0
149.79258779,2.22739091,0.8907,-22.76,29.72,12,47,612481.0,748.0
150.26027867,1.96648157,0.8908,-22.25,29.92,12,45,442079.0,395.0
150.20423688,1.84523673,0.898,-22.52,29.61,10,40,365971.0,69.0
150.42003156,2.51410005,0.9001,-22.46,29.6,19,52,801102.0,165.0
150.48947929,2.40282746,0.9002,-22.0,29.68,11,58,728557.0,234.0
150.16191446,2.60126126,0.9034,-22.86,29.75,23,71,859951.0,156.0
150.28914872,2.21545632,0.905,-22.6,30.15,14,52,603680.0,260.0
150.21565489,2.39564389,0.9073,-22.52,29.61,29,94,724007.0,146.0
150.09869127,2.54065043,0.9076,-22.69,30.2,27,100,819831.0,141.0
149.46608568,1.97199821,0.911,-22.33,29.81,15,40,446332.0,202.0
149.52612454,2.19363526,0.9124,-23.3,30.44,9,46,589798.0,851.0
150.31109674,2.48106863,0.9125,-21.48,29.39,10,42,779298.0,580.0
150.23332247,1.76011342,0.9136,-22.77,30.23,16,44,311817.0,6.0
150.37912669,2.06743311,0.9144,-22.7,30.3,8,54,505937.0,796.0
150.48354705,2.58074645,0.9169,-21.49,29.85,9,45,846331.0,449.0
149.52618695,2.2905829,0.9172,-22.15,29.47,12,44,653375.0,338.0
149.67515405,2.25768681,0.9178,-23.31,30.25,19,72,632848.0,154.0
150.41224364,2.73737227,0.9184,-23.06,30.14,15,52,946877.0,190.0
150.14559696,1.91130275,0.9185,-21.83,29.86,8,43,408004.0,861.0
150.22871459,2.31604931,0.9192,-22.69,29.92,11,55,670548.0,297.0
149.63293813,2.05189316,0.9198,-22.51,30.01,8,40,495752.0,133.0
150.56334863,2.20603198,0.9201,-23.0,29.83,12,42,597400.0,430.0
150.22679799,2.7350587,0.9205,-22.71,29.69,13,40,945377.0,465.0
150.33365312,2.30939218,0.9257,-22.32,29.55,9,42,665198.0,354.0
149.92949909,2.11062988,0.9268,-22.87,29.86,14,61,533277.0,362.0
150.67458068,2.1318988,0.9299,-21.66,29.62,10,46,546483.0,798.0
150.15173234,2.18868711,0.93,-22.81,30.25,26,91,586264.0,147.0
150.07133659,2.63569351,0.9308,-23.16,30.6,18,50,882552.0,196.0
149.8940368,2.21576634,0.9327,-22.22,29.81,17,88,603127.0,188.0
150.3563819,1.7900913,0.9349,-22.82,30.04,13,47,330901.0,278.0
149.80403319,1.69354736,0.9367,-21.66,29.85,17,40,269600.0,5.0
150.67112368,2.73362157,0.937,-21.32,29.62,12,40,943191.0,337.0
149.98778494,2.31570279,0.9374,-23.16,29.87,34,131,671284.0,142.0
150.19485524,2.07344069,0.9375,-23.48,29.99,17,84,509626.0,169.0
150.29329688,2.0115088,0.9386,-22.8,29.72,20,77,470997.0,0.0
149.50676383,2.61886243,0.9424,-22.33,30.22,12,58,869989.0,352.0
150.02981877,2.20741551,0.9447,-22.99,29.81,34,113,598223.0,140.0
149.5103104,2.26011034,0.9472,-23.03,29.83,18,64,634563.0,192.0
150.41059221,2.07982573,0.9494,-22.48,30.01,12,78,513930.0,204.0
150.22031219,1.74320788,0.9496,-21.55,29.34,11,43,300904.0,209.0
149.75529759,2.27057977,0.9496,-22.36,30.26,14,58,640478.0,246.0
150.13383721,2.02009596,0.95,-22.95,29.99,13,54,475935.0,472.0
149.6462508,2.43801641,0.957,-21.83,30.0,14,45,750737.0,310.0
149.59094789,2.53384455,0.9579,-22.6,30.16,10,62,814122.0,525.0
149.61761683,2.11578398,0.9586,-23.66,30.45,23,97,537719.0,145.0
150.3687439,1.96479977,0.9612,-23.08,29.85,14,55,441581.0,368.0
149.7668221,2.29499445,0.9613,-21.22,29.11,17,73,655911.0,205.0
149.64156452,2.33341567,0.9628,-23.44,29.99,28,112,682941.0,151.0
149.82986382,2.57331111,0.9636,-22.66,30.29,20,57,842330.0,149.0
149.65079521,2.21077102,0.9646,-22.08,29.44,22,89,599854.0,158.0
149.8511295,1.93933883,0.9657,-21.72,29.48,12,45,424695.0,50.0
150.39164842,2.72178663,0.9664,-21.19,29.74,11,55,935919.0,355.0
149.57957957,2.48518352,0.9672,-21.2,29.17,12,55,781699.0,258.0
149.75849387,2.02291807,0.9682,-20.78,28.68,9,53,476164.0,726.0
150.71776315,2.43731399,0.9689,-20.88,29.04,17,61,750296.0,168.0
149.669803,1.90169778,0.9704,-22.36,29.71,11,42,401880.0,558.0
150.28263738,2.54561164,0.9706,-23.28,30.0,9,40,823637.0,712.0
149.48146525,2.00626635,0.9713,-23.58,30.03,30,81,468056.0,139.0
150.39520894,1.83964846,0.9718,-22.53,29.62,12,54,361953.0,172.0
150.41356154,2.49796987,0.9724,-21.45,29.71,12,62,789648.0,361.0
149.72696231,1.83329723,0.9728,-21.91,29.37,9,43,358212.0,858.0
150.6632509,2.20074148,0.9729,-22.41,30.09,15,70,593228.0,223.0
150.10490959,2.70481796,0.9729,-21.46,29.38,8,65,925296.0,614.0
150.62887427,2.49856418,0.9733,-21.31,29.36,13,47,789977.0,247.0
150.49592305,2.45526167,0.9742,-22.01,29.43,15,58,762638.0,286.0
149.94638894,2.6872318,0.9747,-22.94,29.76,12,67,914639.0,201.0
150.29564681,2.0349543,0.9761,-22.96,29.79,14,57,484128.0,276.0
150.23298623,1.73956539,0.9783,-23.31,29.91,14,55,299267.0,269.0
150.08609377,2.60038177,0.979,-23.51,30.02,11,50,859691.0,339.0
149.47879246,2.14907847,0.9794,-23.46,30.49,13,47,560377.0,238.0
149.67579885,1.86687045,0.9799,-21.74,29.59,8,52,378994.0,522.0
150.67960883,2.22264058,0.981,-23.13,29.86,17,61,609702.0,2.0
150.46863419,1.9368,0.9814,-23.06,29.84,18,46,424484.0,3.0
149.45843793,2.59409253,0.9816,-21.69,29.96,12,42,854521.0,424.0
150.55259082,2.28939214,0.9818,-23.42,29.98,11,46,654535.0,446.0
149.93952337,2.39644588,0.984,-21.15,29.07,9,48,723900.0,453.0
149.76316347,2.01372205,0.9853,-19.92,28.7,10,41,470679.0,93.0
149.85360769,2.5854975,0.9861,-23.57,30.04,16,59,848867.0,11.0
150.66242081,2.38039387,0.9876,-22.27,30.18,14,53,713613.0,251.0
150.33561607,1.86116107,0.9882,-22.62,29.94,9,55,375860.0,437.0
150.1250261,2.71547326,0.99,-22.7,29.7,10,62,932982.0,283.0
149.58242178,2.42922449,0.9911,-21.91,29.88,15,45,745665.0,467.0
149.80520203,2.65868068,0.9912,-23.08,30.23,11,44,896603.0,624.0
149.51945816,1.83067324,0.9949,-21.45,29.25,9,47,355938.0,711.0
149.60218282,2.6177606,0.9974,-21.7,29.3,8,42,868723.0,865.0
150.65478699,2.37124994,1.0018,-20.78,29.17,10,41,707304.0,628.0
149.85048435,2.14280913,1.0031,-22.68,29.7,11,46,555344.0,279.0
149.7525381,2.21403636,1.0038,-23.59,30.55,15,83,603983.0,171.0
149.89922325,2.32828583,1.0049,-22.51,29.61,11,64,679197.0,259.0
149.99393717,1.88181961,1.0052,-23.05,29.94,8,41,389961.0,1024.0
149.78002124,2.30235775,1.0068,-23.59,30.05,21,87,663215.0,183.0
149.76247079,2.64098739,1.0093,-21.15,29.72,11,46,884036.0,59.0
150.64460482,2.67797101,1.05,-23.41,29.98,14,46,910452.0,325.0
150.68605329,2.31040791,1.0548,-22.45,30.01,9,45,665939.0,439.0
149.74186941,2.69756878,1.0596,-21.91,29.7,8,43,920922.0,1051.0
149.48032491,2.23918595,1.0678,-21.23,29.2,14,40,618829.0,790.0
150.72403662,2.15109188,1.0718,-22.2,29.8,10,44,559993.0,409.0
150.16095585,2.73252757,1.0742,-22.01,29.83,11,44,942745.0,62.0
150.74671116,2.3251279,1.0804,-23.58,30.05,12,41,676723.0,330.0
150.66383728,2.36778447,1.082,-23.67,30.19,10,60,706876.0,461.0
150.47208289,2.16101292,1.0841,-22.6,29.77,11,41,568325.0,405.0
150.50522866,2.28370969,1.0909,-21.22,29.35,12,40,648252.0,41.0
150.68677121,2.27923449,1.0932,-22.42,29.7,12,53,645595.0,476.0
150.34387201,1.9642587,1.0941,-22.58,29.65,16,43,440509.0,10.0
149.51097643,2.55574936,1.0947,-22.61,30.18,9,42,828821.0,118.0
149.46339848,2.27448174,1.0993,-22.61,29.97,15,40,643020.0,454.0
149.847678,2.30134808,1.1001,-22.63,29.87,10,45,661122.0,89.0
150.26581652,2.73737587,1.1052,-21.83,29.63,11,44,946208.0,489.0
149.95406367,2.31019443,1.108,-22.77,30.02,11,47,666110.0,513.0
150.21072168,2.11728879,1.1142,-22.99,30.35,12,50,537810.0,334.0
150.23259337,1.7582093,1.1154,-21.82,29.75,9,42,309724.0,735.0
149.90963199,2.66517436,1.1195,-22.41,29.8,19,62,899579.0,166.0
149.46240531,2.47325022,1.1222,-22.64,29.96,13,45,774649.0,433.0
150.43946061,2.54351824,1.1223,-22.47,30.2,13,49,820975.0,26.0
150.30095307,2.04160999,1.1231,-22.3,29.62,10,44,488263.0,637.0
149.75642079,2.29050348,1.1247,-21.86,29.86,9,57,652749.0,422.0
149.82397406,2.07040913,1.1259,-22.28,30.1,10,50,506640.0,520.0
149.98584723,2.66655856,1.1263,-22.97,30.06,12,47,902379.0,770.0
150.05810154,2.47559173,1.127,-20.75,28.92,11,46,774800.0,65.0
149.62564316,2.70160695,1.1272,-20.58,29.31,11,42,923233.0,684.0
150.2768228,2.27564387,1.1279,-22.68,29.7,14,49,643589.0,175.0
150.50792634,2.13683977,1.1301,-22.44,29.92,10,42,550675.0,913.0
150.71687313,2.00096159,1.1329,-22.13,29.61,8,44,462607.0,991.0
149.55946602,2.59251027,1.1334,-22.07,29.44,9,40,853014.0,103.0
150.33277832,2.75013133,1.1336,-23.13,30.16,16,56,954095.0,294.0
150.48428549,2.36285877,1.1348,-22.7,29.99,14,46,702995.0,213.0
149.64623722,2.23354661,1.1389,-22.24,30.23,12,44,615130.0,933.0
150.34811758,1.96449555,1.1406,-21.2,29.28,17,71,439981.0,167.0
149.99667398,1.76212425,1.1408,-21.2,29.55,11,41,311958.0,51.0
150.26666608,1.85606511,1.1425,-21.82,29.75,10,40,372081.0,740.0
150.56589042,2.49644973,1.1427,-23.89,30.17,17,78,790959.0,8.0
149.69007592,2.03020472,1.143,-21.98,29.72,12,53,480994.0,301.0
150.01378225,2.22025556,1.1437,-20.94,29.83,11,47,605527.0,71.0
150.67253822,2.30343729,1.1439,-21.87,29.82,12,51,661459.0,52.0
150.12914478,1.986779,1.1439,-22.8,29.84,9,45,454629.0,826.0
150.25339337,2.71857754,1.1441,-22.92,29.87,10,44,935657.0,774.0
150.53554652,2.05570238,1.1449,-22.78,29.73,9,41,498362.0,999.0
150.10307925,2.22324666,1.1468,-22.47,30.05,13,52,609185.0,281.0
150.07742372,2.04286407,1.1471,-21.96,29.4,11,44,489010.0,417.0
150.52870624,2.24112729,1.15,-22.06,29.73,12,46,620024.0,249.0
150.15102381,1.77348227,1.1508,-22.33,29.54,9,43,320217.0,113.0
150.29362133,2.0770874,1.151,-23.18,29.89,9,50,512175.0,396.0
149.63994819,1.91578884,1.1516,-21.74,29.88,12,55,409950.0,588.0
149.92719832,2.39289326,1.1532,-21.63,29.0,11,43,721194.0,357.0
149.82843633,2.72362092,1.1542,-22.53,30.23,9,41,937926.0,108.0
149.64834326,2.10716506,1.1557,-21.29,29.18,8,48,530038.0,737.0
149.84903087,2.29927697,1.1578,-23.14,29.88,14,72,660085.0,242.0
150.36097761,1.95433704,1.1662,-23.58,30.04,18,78,435503.0,157.0
150.60562748,2.54845941,1.1691,-22.56,29.94,11,41,823824.0,651.0
150.56980544,1.96693617,1.1725,-22.24,29.52,10,45,441964.0,419.0
150.56473387,2.1119601,1.1734,-22.71,29.7,8,40,535995.0,656.0
150.35805158,2.08853146,1.1746,-23.34,29.95,12,56,519324.0,193.0
149.62169258,2.12263913,1.1816,-22.99,29.79,13,59,540746.0,211.0
149.56370025,2.46166644,1.1818,-22.23,30.0,8,42,766513.0,369.0
150.44547333,2.03352228,1.1829,-23.27,29.92,11,48,484285.0,500.0
149.63780421,2.01061426,1.1845,-21.84,29.66,14,59,468784.0,216.0
150.25336045,2.04778551,1.1851,-22.76,30.02,11,59,492241.0,478.0
149.54334224,2.07291436,1.1865,-22.24,30.09,10,40,508442.0,893.0
149.91307489,2.69573795,1.1877,-21.77,29.75,8,42,919308.0,793.0
149.8126601,2.69093041,1.1887,-22.44,29.6,11,42,916585.0,507.0
149.54369836,2.55316928,1.1891,-22.45,30.01,13,47,826508.0,606.0
150.45128444,1.91018654,1.1895,-23.87,30.15,12,44,407699.0,452.0
149.98610649,2.68575053,1.1897,-22.98,30.2,14,54,913748.0,605.0
150.12317301,1.99741022,1.1903,-24.51,30.42,21,87,462521.0,176.0
149.63668527,2.34184113,1.1907,-22.79,29.73,13,65,687614.0,293.0
