ra,dec,redshift,brightness,LR,N(0.5),total_N,gal_id,cluster_id
150.12732918,2.62247681,0.52,-22.8,29.74,14,44.0,870905.0,1164.0
150.13615699,1.86128685,0.5202,-23.65,30.09,28,63.0,373831.0,149.0
149.5172568,1.87408996,0.5208,-22.87,29.9,19,50.0,384348.0,930.0
149.81740245,1.72014111,0.5262,-23.07,29.84,18,44.0,286240.0,1058.0
150.5818166,2.1475663,0.5295,-23.03,29.83,18,48.0,557354.0,552.0
150.21038747,1.81648749,0.5305,-22.46,29.59,32,70.0,348419.0,131.0
150.62949052,2.39249709,0.5544,-22.86,29.88,10,45.0,723384.0,1067.0
149.52361555,1.75897202,0.5609,-23.43,29.99,28,73.0,309192.0,305.0
150.41755385,2.40011679,0.5761,-22.13,29.84,11,45.0,728167.0,1248.0
149.61938099,1.73543421,0.59,-23.16,29.88,27,48.0,292852.0,457.0
150.57025297,2.49864915,0.5923,-22.92,29.87,24,63.0,789087.0,571.0
150.2221756,2.35602465,0.5959,-22.14,29.6,12,43.0,698080.0,1348.0
150.04607202,2.26453692,0.6039,-22.3,29.55,15,41.0,637559.0,1306.0
150.70167742,2.56581228,0.604,-21.74,29.53,9,41.0,835437.0,1356.0
150.24972711,2.70727307,0.6059,-22.87,29.76,14,40.0,927762.0,1335.0
150.49067257,2.74789994,0.6067,-22.69,29.69,24,41.0,953345.0,404.0
150.72247888,2.76688485,0.6095,-21.94,29.7,19,42.0,965086.0,699.0
150.56773412,2.61361566,0.61,-23.58,30.15,20,57.0,868440.0,499.0
150.32183681,2.55230002,0.6116,-22.84,29.98,15,40.0,827881.0,1349.0
150.05740537,2.32694537,0.6139,-22.36,29.76,15,42.0,678711.0,1183.0
149.66309375,1.81261977,0.6166,-22.31,29.85,18,44.0,346516.0,1090.0
149.99264109,2.20223822,0.6324,-22.58,29.76,22,40.0,595950.0,778.0
149.6195481,1.90091503,0.6331,-22.57,29.65,31,71.0,401488.0,168.0
149.80630609,1.69208792,0.6399,-22.62,29.67,17,58.0,270787.0,548.0
150.63846323,2.71564274,0.6399,-22.74,29.71,30,61.0,934053.0,184.0
150.19949663,2.14799558,0.64,-22.93,29.8,32,55.0,560167.0,188.0
150.14812325,2.51784537,0.6516,-23.11,29.87,45,101.0,804406.0,87.0
149.92943703,1.96608765,0.653,-22.08,29.45,11,40.0,442994.0,1352.0
149.74546924,1.9503207,0.6532,-22.62,29.68,18,44.0,431773.0,1181.0
150.06597416,2.05319926,0.6575,-22.24,29.94,13,40.0,497366.0,1289.0
150.68619761,2.01558176,0.6603,-21.18,29.32,13,41.0,472355.0,1346.0
150.19303933,1.99094595,0.6631,-22.51,29.62,12,43.0,457744.0,976.0
149.71400444,1.83344554,0.67,-23.03,29.83,17,52.0,358610.0,230.0
150.38572393,1.9899665,0.67,-23.44,30.0,15,40.0,456394.0,1334.0
150.52849474,2.12395284,0.6701,-23.37,30.11,21,43.0,541223.0,1298.0
149.65054509,1.77783038,0.6701,-23.01,29.82,13,49.0,323873.0,1275.0
150.49008162,2.44596101,0.6701,-22.74,29.72,20,52.0,758409.0,870.0
150.6067859,2.01754685,0.6723,-22.02,29.43,14,40.0,474365.0,48.0
149.78529507,2.03016338,0.6785,-23.19,30.31,12,48.0,477739.0,1171.0
149.50369276,2.02412737,0.6788,-23.5,30.01,25,50.0,478093.0,503.0
150.19694656,2.2494547,0.6793,-22.93,29.8,13,55.0,627919.0,806.0
149.48719965,1.67393319,0.6799,-21.64,29.27,17,40.0,258481.0,1274.0
150.05775592,2.61029904,0.68,-23.01,29.83,54,117.0,866167.0,53.0
149.66774979,2.27366808,0.68,-23.31,29.94,26,53.0,643306.0,382.0
150.09239921,2.19362661,0.6801,-22.95,29.81,32,56.0,590057.0,225.0
149.95552793,2.11009751,0.6801,-23.11,29.87,25,67.0,533797.0,311.0
150.28746575,2.39251363,0.6811,-22.25,29.82,30,77.0,723088.0,129.0
