ra,dec,redshift,brightness,LR,N(0.5),total_N,gal_id,cluster_id
150.38442031,2.46022722,0.5156,-22.44,29.59,18,42,766466.0,901.0
150.12732918,2.62247681,0.52,-22.8,29.74,19,47,870905.0,697.0
150.13615699,1.86128685,0.5202,-23.65,30.09,28,70,373831.0,121.0
149.5172568,1.87408996,0.5208,-22.87,29.9,25,81,384348.0,684.0
149.81740245,1.72014111,0.5262,-23.07,29.84,25,63,286240.0,775.0
150.5818166,2.1475663,0.5295,-23.03,29.83,20,58,557354.0,437.0
150.01011164,1.66529179,0.5397,-22.38,29.85,14,42,253451.0,944.0
150.13916566,1.76460903,0.5415,-22.65,30.18,16,40,315920.0,965.0
150.46449749,2.05995909,0.5417,-23.52,30.03,34,63,497616.0,142.0
150.41350532,2.41377579,0.5513,-22.78,29.73,20,64,736828.0,877.0
150.62949052,2.39249709,0.5544,-22.86,29.88,13,64,723384.0,781.0
149.52361555,1.75897202,0.5609,-23.43,29.99,30,102,309192.0,246.0
150.25427822,2.34348809,0.5649,-23.31,30.06,16,40,689290.0,588.0
149.66992772,2.15502312,0.5659,-21.95,29.64,15,44,553521.0,933.0
150.53549652,1.98610051,0.5703,-21.9,29.38,18,47,454411.0,937.0
150.71369439,1.98971177,0.59,-22.62,29.67,15,42,457035.0,880.0
149.61938099,1.73543421,0.59,-23.16,29.88,40,79,292852.0,364.0
150.57025297,2.49864915,0.5923,-22.92,29.87,34,107,789087.0,456.0
150.68436118,2.28638444,0.6014,-22.18,29.79,15,42,651662.0,966.0
150.72857653,2.62485712,0.6067,-22.73,29.71,21,50,874444.0,913.0
150.72247888,2.76688485,0.6095,-21.94,29.7,26,48,965086.0,554.0
150.56773412,2.61361566,0.61,-23.58,30.15,31,88,868440.0,397.0
150.32183681,2.55230002,0.6116,-22.84,29.98,20,49,827881.0,873.0
149.66309375,1.81261977,0.6166,-22.31,29.85,26,72,346516.0,793.0
150.36836126,2.18303709,0.6184,-22.47,29.61,16,47,583123.0,961.0
149.99264109,2.20223822,0.6324,-22.58,29.76,31,66,595950.0,592.0
149.6195481,1.90091503,0.6331,-22.57,29.65,40,98,401488.0,139.0
149.8858255,1.69255144,0.6393,-22.79,29.85,21,44,270428.0,825.0
149.4472009,1.67811414,0.6398,-22.22,29.52,13,57,261666.0,841.0
149.80630609,1.69208792,0.6399,-22.62,29.67,24,94,270787.0,434.0
150.63846323,2.71564274,0.6399,-22.74,29.71,37,78,934053.0,153.0
150.19949663,2.14799558,0.64,-22.93,29.8,42,85,560167.0,157.0
150.25407774,1.97201058,0.64,-22.58,29.77,24,60,446731.0,622.0
150.14812325,2.51784537,0.6516,-23.11,29.87,60,146,804406.0,68.0
149.92943703,1.96608765,0.653,-22.08,29.45,14,52,442994.0,946.0
