ra,dec,redshift,brightness,richness,total_N,LR,gal_id,doppler_velocity,cluster_id
150.21038747,1.81648749,0.5305,-22.46,8,51.0,29.59,348419.0,120406.54082192275,1137.0
150.46449749,2.05995909,0.5417,-23.52,15,51.0,30.03,497616.0,122234.4116935622,1291.0
149.52361555,1.75897202,0.5609,-23.43,15,64.0,29.99,309192.0,125312.3687116711,1293.0
149.61660088,1.73970069,0.5766,-23.16,12,53.0,29.86,299911.0,127778.0860958704,1393.0
150.56773412,2.61361566,0.61,-23.58,10,53.0,30.15,868440.0,132874.80091918373,1766.0
150.58555222,2.47395421,0.6104,-22.59,8,71.0,29.66,776141.0,132934.6376636632,1760.0
150.65832267,2.72897177,0.6225,-22.67,8,54.0,29.69,942244.0,134731.51254395294,1775.0
149.94568689,2.50416122,0.6505,-21.89,8,58.0,29.7,794512.0,138793.337193851,2247.0
149.63358838,1.90317999,0.6551,-22.75,8,54.0,29.72,403885.0,139448.02585806014,1592.0
150.06017824,2.60173678,0.66,-21.11,13,58.0,29.29,858663.0,140141.5590757269,1111.0
149.9687112,2.63452597,0.66,-22.43,8,52.0,29.92,881538.0,140141.5590757269,2619.0
150.17143223,2.47316807,0.66,-20.64,8,53.0,29.03,774547.0,140141.5590757269,566.0
150.14194297,2.20717981,0.66,-21.45,8,57.0,29.43,597859.0,140141.5590757269,2748.0
150.18962189,2.2114272,0.66,-22.01,8,56.0,29.85,602525.0,140141.5590757269,196.0
149.76667507,1.75572328,0.6605,-21.28,9,59.0,29.45,310355.0,140212.10526824548,1871.0
149.75427342,1.96909876,0.6616,-21.76,8,56.0,29.62,444807.0,140367.162254914,1907.0
150.17502929,2.21709751,0.6625,-22.22,10,62.0,29.94,606737.0,140493.87929602724,1334.0
150.15106735,2.51990114,0.6651,-22.54,13,61.0,29.64,806159.0,140859.20517508188,1296.0
149.72485989,1.87606749,0.6695,-22.07,10,58.0,29.77,386871.0,141474.93399944576,1554.0
