ra,dec,redshift,brightness,richness,total_N,gal_id,cluster_id
149.81113969999996,2.25248878,0.38,-22.68,13,58,628153.0,3205
149.47081255,2.44250583,0.4784,-22.99,12,51,755108.0,3130
150.21038747,1.81648749,0.5305,-22.46,15,60,348419.0,3119
149.52361555,1.75897202,0.5609,-23.43,14,61,309192.0,3361
150.58555222,2.47395421,0.6104,-22.59,7,60,776141.0,4078
150.65832267,2.72897177,0.6225,-22.67,8,50,942244.0,4094
150.14812325,2.51784537,0.6516,-23.11,16,75,804406.0,3195
149.63358838,1.90317999,0.6551,-22.75,8,52,403885.0,3857
150.14821571,2.51154415,0.6599,-21.8,10,53,799582.0,318
150.14194297,2.20717981,0.66,-21.45,8,57,597859.0,5213
150.17143223,2.47316807,0.66,-20.64,9,54,774547.0,1596
150.18962189,2.2114272,0.66,-22.01,9,51,602525.0,721
149.76667507,1.75572328,0.6605,-21.28,9,52,310355.0,4383
150.0434541,2.61645095,0.662,-21.05,9,63,868159.0,4841
150.17502929,2.21709751,0.6625,-22.22,10,56,606737.0,3744
149.72485989,1.87606749,0.6695,-22.07,10,56,386871.0,3745
150.15537386,2.19009697,0.6698,-22.12,7,53,587552.0,2860
149.98288469,2.46697024,0.6753,-23.01,11,51,771266.0,4824
150.09239921,2.19362661,0.6801,-22.95,13,59,590057.0,3310
149.93338399,2.47709838,0.6826,-22.94,8,58,778156.0,2991
150.04341997,2.6028732000000003,0.688,-22.56,12,51,860983.0,3604
149.91006553,2.55844153,0.6881,-22.05,8,54,830966.0,866
149.91355741,2.53016204,0.6898,-21.89,9,61,811857.0,3318
149.91304267,2.50191047,0.6907,-22.38,8,54,793039.0,2945
149.98245936,2.58118616,0.6924,-22.54,9,68,846981.0,3204
150.17259634,2.52333517,0.6946,-22.78,16,52,809179.0,3084
149.90817715,2.53063046,0.6995,-22.26,11,60,812477.0,45
150.01604872,2.45900757,0.7009,-21.09,8,50,764758.0,5417
149.89434918,2.51851956,0.7114,-22.64,9,76,805392.0,1059
150.14115086,2.06964664,0.7139,-22.1,11,51,508709.0,4507
149.91320934,2.51219989,0.7179,-23.48,21,91,801764.0,1
149.91997381,2.52625575,0.718,-23.15,32,78,809855.0,0
149.78881339,2.46644341,0.7192,-22.56,8,60,771810.0,4495
149.92002788,2.5092256,0.7193,-22.3,27,76,798133.0,3078
149.84723591,2.50159076,0.7196,-22.97,8,70,793873.0,3401
149.95121927,2.48306029,0.7197,-22.79,9,99,782430.0,61
149.92580409,2.53160437,0.7201,-22.89,28,96,814491.0,4
149.87178604,2.47909806,0.7208,-22.89,8,51,779565.0,2201
149.83693361,2.52615215,0.7209,-22.68,8,80,810728.0,4456
149.97241009,2.43815474,0.7252,-22.23,8,73,751525.0,4828
