ra,dec,redshift,brightness,richness,total_N,LR,gal_id,doppler_velocity,cluster_id
149.52361555,1.75897202,0.5609,-23.43,15,62,29.99,309192.0,125312.3687116711,1086
149.61660088,1.73970069,0.5766,-23.16,12,51,29.86,299911.0,127778.0860958704,1163
150.58555222,2.47395421,0.6104,-22.59,8,67,29.66,776141.0,132934.6376636632,1451
150.65832267,2.72897177,0.6225,-22.67,8,53,29.69,942244.0,134731.51254395294,1461
149.94568689,2.50416122,0.6505,-21.89,8,55,29.7,794512.0,138793.337193851,1840
149.63358838,1.90317999,0.6551,-22.75,8,53,29.72,403885.0,139448.02585806014,1322
150.18962189,2.2114272,0.66,-22.01,8,53,29.85,602525.0,140141.5590757269,163
150.14194297,2.20717981,0.66,-21.45,8,57,29.43,597859.0,140141.5590757269,2205
149.9687112,2.63452597,0.66,-22.43,8,52,29.92,881538.0,140141.5590757269,2107
150.17143223,2.47316807,0.66,-20.64,8,53,29.03,774547.0,140141.5590757269,472
149.76667507,1.75572328,0.6605,-21.28,9,55,29.45,310355.0,140212.10526824548,1533
149.75427342,1.96909876,0.6616,-21.76,8,53,29.62,444807.0,140367.162254914,1560
149.72485989,1.87606749,0.6695,-22.07,10,58,29.77,386871.0,141474.93399944576,1290
149.98904286,2.58776177,0.6697,-22.9,12,54,29.78,850661.0,141502.84678186924,452
149.99221088,2.57433144,0.6707,-22.1,8,60,29.45,841716.0,141642.31324347746,2182
150.06143640000002,2.60606784,0.6758,-21.66,15,72,29.28,862318.0,142351.07259691035,1127
150.05775592,2.61029904,0.68,-23.01,19,63,29.83,866167.0,142931.60722561742,902
150.09239921,2.19362661,0.6801,-22.95,14,62,29.81,590057.0,142945.39494580808,1030
149.84700264,2.50230098,0.682,-21.97,8,62,29.82,794780.0,143207.0572660462,1279
149.91006553,2.55844153,0.6881,-22.05,9,50,29.44,830966.0,144043.23592342416,234
150.04655661,2.59486062,0.6899,-22.84,10,56,30.17,856033.0,144288.84692520753,90
149.98245936,2.58118616,0.6924,-22.54,11,51,29.64,846981.0,144629.12269148466,982
150.17259634,2.52333517,0.6946,-22.78,16,54,29.73,809179.0,144927.74946689792,966
149.89025703,2.48675567,0.6958,-22.24,11,91,29.52,783712.0,145090.31567439096,215
149.90926656,2.47137121,0.7002,-21.91,10,60,29.69,773881.0,145684.45892639848,190
150.09159305,2.47510051,0.7011,-22.53,8,53,29.73,777099.0,145805.61509936457,2080
149.91505613,2.50635145,0.7041,-22.22,11,79,30.02,795503.0,146208.5570551532,18
149.98597559,2.56490106,0.7087,-22.09,18,51,29.88,833739.0,146823.68639853311,59
149.89434918,2.51851956,0.7114,-22.64,8,77,29.66,805392.0,147183.2166864561,263
149.99324478,2.57437993,0.7127,-22.5,13,59,29.72,841500.0,147355.9233101765,1859
150.14115086,2.06964664,0.7139,-22.1,12,53,29.46,508709.0,147515.11423951376,1715
149.91667419,2.46161715,0.7147,-22.25,9,72,29.63,768000.0,147621.1187304359,169
149.92062485,2.52535417,0.7170000000000001,-22.35,22,82,29.56,810374.0,147925.33545033104,0
149.91320934,2.51219989,0.7179,-23.48,27,52,30.02,801764.0,148044.15653481835,891
