ra,dec,redshift,brightness,richness,total_N,gal_id,cluster_id
150.46842351,2.03291935,0.3185,-21.55,14.0,50.0,483025.0,1230.0
150.19510518,1.77351446,0.34,-22.14,14.0,50.0,320532.0,1134.0
150.14545149,2.05383559,0.3737,-21.51,10.0,52.0,498098.0,2053.0
149.81113969999998,2.25248878,0.38,-22.68,13.0,64.0,628153.0,1177.0
149.47081255,2.44250583,0.4784,-22.99,12.0,53.0,755108.0,1130.0
150.11257822,2.5560953,0.5,-23.61,15.0,51.0,827001.0,1217.0
150.21038747,1.81648749,0.5305,-22.46,15.0,63.0,348419.0,1125.0
150.46449749,2.05995909,0.5417,-23.52,15.0,51.0,497616.0,1246.0
149.52361555,1.75897202,0.5609,-23.43,15.0,64.0,309192.0,1253.0
149.61660088,1.73970069,0.5766,-23.16,12.0,53.0,299911.0,1343.0
150.56773412,2.61361566,0.61,-23.58,10.0,53.0,868440.0,1745.0
150.58555222,2.47395421,0.6104,-22.59,8.0,71.0,776141.0,1738.0
150.65832267,2.72897177,0.6225,-22.67,8.0,54.0,942244.0,1752.0
149.94568689,2.50416122,0.6505,-21.89,8.0,55.0,794512.0,2066.0
150.14812325,2.51784537,0.6516,-23.11,16.0,78.0,804406.0,1171.0
149.63358838,1.90317999,0.6551,-22.75,8.0,54.0,403885.0,1559.0
150.14821571,2.51154415,0.6599,-21.8,11.0,75.0,799582.0,74.0
150.14194297,2.20717981,0.66,-21.45,8.0,61.0,597859.0,2524.0
150.06017824,2.60173678,0.66,-21.11,8.0,51.0,858663.0,1267.0
150.17143223,2.47316807,0.66,-20.64,9.0,56.0,774547.0,508.0
150.18962189,2.2114272,0.66,-22.01,10.0,58.0,602525.0,202.0
149.76667507,1.75572328,0.6605,-21.28,9.0,59.0,310355.0,1961.0
149.75427342,1.96909876,0.6616,-21.76,8.0,56.0,444807.0,1954.0
150.0434541,2.61645095,0.662,-21.05,9.0,70.0,868159.0,2289.0
150.17502929,2.21709751,0.6625,-22.22,11.0,64.0,606737.0,1492.0
150.18997485,2.15533785,0.6686,-22.91,14.0,53.0,564353.0,1322.0
149.72485989,1.87606749,0.6695,-22.07,10.0,58.0,386871.0,1493.0
149.98904286,2.58776177,0.6697,-22.9,8.0,60.0,850661.0,492.0
150.15537386,2.19009697,0.6698,-22.12,8.0,56.0,587552.0,1013.0
150.07041959,2.59698904,0.6703,-21.52,8.0,53.0,855950.0,1499.0
149.99221088,2.57433144,0.6707,-22.1,11.0,64.0,841716.0,2714.0
150.16903721,2.47366232,0.6726,-22.75,9.0,54.0,775817.0,2709.0
149.98288469,2.46697024,0.6753,-23.01,11.0,55.0,771266.0,2281.0
150.06366704,2.61563238,0.6754,-22.12,16.0,57.0,868297.0,1554.0
150.05775592,2.61029904,0.68,-23.01,15.0,61.0,866167.0,1074.0
150.09239921,2.19362661,0.6801,-22.95,14.0,64.0,590057.0,1228.0
149.93338399,2.47709838,0.6826,-22.94,8.0,68.0,778156.0,1081.0
150.04341997,2.6028732000000003,0.688,-22.56,12.0,60.0,860983.0,1399.0
149.91006553,2.55844153,0.6881,-22.05,8.0,64.0,830966.0,257.0
149.91355741,2.53016204,0.6898,-21.89,9.0,65.0,811857.0,1233.0
149.91304267,2.50191047,0.6907,-22.38,8.0,63.0,793039.0,1057.0
149.98245936,2.58118616,0.6924,-22.54,9.0,68.0,846981.0,1176.0
150.30678055,2.41578251,0.6935,-22.34,11.0,51.0,738224.0,1474.0
150.17259634,2.52333517,0.6946,-22.78,16.0,59.0,809179.0,1112.0
