,cluster_id,ra,dec,redshift,group,Ngal,type
3,248530,149.849106,1.660836,0.7437,2602,14,satellite
7,248971,150.261428,1.660046,0.9069,4043,5,satellite
12,249351,149.434744,1.66037,0.5339,1177,30,satellite
15,249457,150.332107,1.661299,1.0417,5763,2,satellite
17,249486,149.420016,1.661311,0.9977,5302,2,satellite
18,249508,150.033681,1.661263,0.875,3890,2,satellite
21,249933,149.807899,1.660575,0.5954,1559,10,satellite
22,249935,149.458808,1.6606,0.6356,1830,3,satellite
23,249940,150.161337,1.661601,0.7401,2501,23,satellite
24,249956,149.802478,1.661148,0.6603,1997,3,satellite
26,250032,149.421077,1.661087,0.508,1135,5,satellite
28,250104,149.425513,1.662,0.5735,1420,3,satellite
29,250123,150.321295,1.662851,1.1326,6438,2,satellite
30,250242,150.315566,1.66174,0.5327,1134,52,satellite
31,250422,149.959531,1.661993,0.3744,412,47,satellite
33,250460,150.264656,1.663255,0.9347,4516,6,satellite
34,250484,150.078485,1.662787,0.715,2417,5,satellite
35,250489,149.769251,1.663466,0.9346,4515,2,satellite
39,250685,149.831415,1.662806,0.8337,3219,6,satellite
41,250724,149.82605,1.662512,0.7777,2837,2,satellite
44,251213,150.365651,1.663188,0.6978,1940,19,satellite
49,251369,150.209613,1.662981,0.8763,3711,19,satellite
52,251502,149.952099,1.664654,0.8257,3220,3,satellite
56,251759,150.379216,1.664524,0.6967,1940,19,satellite
60,251871,150.151371,1.664524,0.6773,2179,2,satellite
66,252076,150.000627,1.662336,0.3316,361,4,satellite
68,252154,150.324719,1.66513,1.1713,6848,3,satellite
69,252193,149.829573,1.664683,0.8303,3219,6,satellite
72,252362,149.432892,1.665323,0.5085,1135,5,satellite
73,252696,150.272775,1.665871,0.8673,3711,19,satellite
74,252714,149.494785,1.664564,0.3279,282,6,satellite
75,252717,150.233069,1.663418,0.8778,3711,19,satellite
76,252832,150.017442,1.666841,1.0141,5661,3,satellite
77,252838,149.985158,1.665804,0.3685,412,47,satellite
79,252985,150.212691,1.66721,0.2113,72,48,satellite
81,253045,150.031786,1.665171,0.6504,1846,4,satellite
83,253085,149.629053,1.66575,0.66,1998,3,satellite
84,253094,149.859255,1.667109,1.1582,6680,2,satellite
85,253168,150.367108,1.666248,0.6618,1940,19,satellite
88,253464,150.14033,1.66769,0.8398,3428,8,satellite
89,253472,149.601342,1.667102,0.6796,2127,2,satellite
90,253552,149.428637,1.664563,0.34,400,3,satellite
92,253573,150.139741,1.667254,0.8335,3428,8,satellite
93,253719,150.177338,1.668513,0.22,72,48,satellite
94,253882,149.850888,1.668464,0.7298,2602,14,satellite
95,253929,150.02853,1.668665,1.0655,5816,2,satellite
96,254046,149.638081,1.668021,0.6921,2237,2,satellite
99,254122,149.45795,1.667446,0.2845,222,5,satellite
109,254403,149.541249,1.668824,1.0645,5920,2,satellite
111,254477,150.185132,1.666873,0.22,72,48,satellite
112,254489,149.500183,1.669386,0.8455,3502,2,satellite
114,254678,149.993816,1.670445,1.0421,5738,3,satellite
115,254686,150.376732,1.670041,0.7048,1940,19,satellite
117,254725,150.159521,1.669428,0.7217,2370,5,satellite
121,254847,149.899317,1.668305,0.3406,412,47,satellite
123,254911,150.169245,1.668947,0.7454,2501,23,satellite
124,254968,149.984565,1.670276,0.91,4163,4,satellite
127,255033,150.195871,1.672048,0.3405,362,62,satellite
134,255462,150.193361,1.668668,0.21,72,48,satellite
135,255476,149.986039,1.669858,0.3781,412,47,satellite
139,255717,150.138086,1.671806,0.7557,2740,2,satellite
142,255807,150.027246,1.671661,1.0228,5661,3,satellite
148,256073,150.173944,1.670657,0.8022,3033,3,satellite
149,256140,149.849208,1.671777,0.7442,2602,14,satellite
150,256161,150.157421,1.671583,0.8431,3280,7,satellite
151,256222,149.427249,1.671976,0.6345,1755,9,satellite
152,256243,149.828622,1.672107,0.6632,2003,6,satellite
154,256310,149.564985,1.670355,0.578,1421,5,satellite
157,256356,149.756874,1.672114,0.6613,1999,5,satellite
158,256371,150.272651,1.673134,0.9411,4516,6,satellite
159,256403,150.157415,1.670561,0.21,72,48,satellite
161,256442,150.171793,1.670129,0.3961,649,5,satellite
163,256539,150.370206,1.673474,0.9861,5229,3,satellite
164,256602,150.25085,1.671497,0.2301,92,12,satellite
167,256733,150.301424,1.672879,0.5089,1134,52,satellite
168,256950,150.165264,1.672593,0.7072,2370,5,satellite
169,256985,150.067741,1.671409,0.2141,74,3,satellite
174,257173,150.165993,1.671783,0.7415,2501,23,satellite
177,257300,150.376818,1.673994,0.5663,1378,3,satellite
179,257332,149.8997,1.670801,0.3503,412,47,satellite
181,257559,150.183746,1.673864,0.5079,1099,7,satellite
182,257563,149.983199,1.674711,0.9476,4756,5,satellite
183,257565,149.571781,1.674342,1.1278,6441,3,satellite
184,257573,150.202799,1.676102,0.21,72,48,satellite
185,257574,149.700412,1.673862,0.7922,2929,2,satellite
186,257657,149.605479,1.674192,0.8717,3845,3,satellite
187,257730,149.959948,1.674504,1.1871,7095,2,satellite
188,257772,150.056635,1.674722,1.1307,6148,5,satellite
190,257893,149.522221,1.672408,0.31,282,6,satellite
193,258060,150.011665,1.674646,0.3797,412,47,satellite
196,258154,150.375973,1.672328,0.6904,1940,19,satellite
201,258321,149.576004,1.673122,0.2955,236,3,satellite
202,258332,150.151018,1.675567,1.0984,6191,3,satellite
204,258353,149.519029,1.675734,0.8779,3961,2,satellite
205,258408,150.183466,1.674703,0.4996,1099,7,satellite
206,258447,149.99149,1.676204,0.8628,3780,3,satellite
211,258534,149.830541,1.675297,0.8212,3219,6,satellite
213,258542,149.805687,1.675295,0.9959,5230,3,satellite
216,258595,150.27261,1.674913,0.76,2775,2,satellite
217,258626,150.126354,1.676126,0.843,3428,8,satellite
220,258666,150.365568,1.67492,0.6682,1940,19,satellite
223,258751,150.296071,1.67498,0.5133,1134,52,satellite
224,258777,149.695262,1.676693,0.8935,4107,3,satellite
225,258803,150.145127,1.675713,1.1016,6191,3,satellite
226,258850,149.953411,1.676866,0.8219,3220,3,satellite
229,258974,150.375111,1.677178,0.656,1940,19,satellite
230,259056,150.280081,1.675715,0.5105,1134,52,satellite
231,259060,149.687221,1.675156,0.5259,1208,3,satellite
234,259146,149.653254,1.676912,0.6592,1998,3,satellite
237,259249,149.928913,1.676919,1.1608,6849,3,satellite
238,259252,150.056175,1.677756,1.1251,6148,5,satellite
242,259306,150.17968,1.676293,0.3515,362,62,satellite
243,259370,150.038904,1.675401,0.4065,682,5,satellite
246,259535,149.969194,1.676659,0.3675,412,47,satellite
247,259540,150.153898,1.677123,0.8067,3033,3,satellite
249,259609,149.813805,1.676204,0.8279,3219,6,satellite
255,259817,149.497728,1.676873,0.5689,1422,5,satellite
256,259854,150.203638,1.675752,0.2097,72,48,satellite
257,259896,149.791815,1.677966,0.9841,5230,3,satellite
262,260207,150.279993,1.678909,0.9339,4516,6,satellite
263,260241,149.48946,1.677047,0.6124,1659,2,satellite
266,260368,150.030175,1.676328,0.4147,682,5,satellite
267,260414,150.263841,1.678177,0.5995,1608,2,satellite
268,260427,149.658122,1.67873,0.5957,1561,2,satellite
272,260649,150.282027,1.678814,0.5206,1134,52,satellite
275,260678,150.197188,1.679783,0.6851,2201,2,satellite
276,260735,150.166278,1.677409,0.7211,2370,5,satellite
277,260739,149.752285,1.676806,0.6787,1999,5,satellite
278,260740,150.14176,1.676456,0.3417,362,62,satellite
279,260807,150.056619,1.679227,1.1059,6148,5,satellite
280,260845,150.29954,1.67812,0.5043,1134,52,satellite
282,260962,150.189898,1.679966,0.8535,3634,3,satellite
283,260964,149.77086,1.679435,0.9801,5104,2,satellite
284,260965,149.434063,1.677676,0.5286,1177,30,satellite
288,261108,150.299625,1.677157,0.5231,1134,52,satellite
289,261127,149.56087,1.679934,1.1554,6743,2,satellite
290,261157,149.774817,1.680375,0.9407,4630,7,satellite
293,261232,149.850363,1.679744,0.7515,2602,14,satellite
294,261252,150.13546,1.677274,0.3468,362,62,satellite
295,261287,150.379943,1.677807,0.691,1940,19,satellite
297,261302,150.022031,1.680561,0.8416,3430,2,satellite
298,261323,149.967747,1.678625,0.519,1207,2,satellite
300,261379,150.275239,1.679065,0.5164,1134,52,satellite
301,261406,150.276097,1.678495,0.8697,3711,19,satellite
304,261524,149.9531,1.678208,0.8533,3633,2,satellite
306,261562,149.437993,1.680262,0.6352,1755,9,satellite
308,261584,149.829893,1.677663,0.7392,2602,14,satellite
309,261595,149.801895,1.681533,0.7523,2695,3,satellite
312,261666,149.447201,1.678114,0.6398,1755,9,satellite
314,261721,149.996998,1.681693,1.0822,5990,2,satellite
315,261796,150.127374,1.678892,0.833,3428,8,satellite
316,261820,150.111431,1.681992,1.1505,6681,2,satellite
318,261845,149.837221,1.681743,0.7295,2602,14,satellite
325,261961,149.574302,1.681855,0.5774,1421,5,satellite
326,261974,149.613481,1.681335,0.8778,3845,3,satellite
331,262023,149.967917,1.680167,0.3766,412,47,satellite
337,262201,149.953406,1.680512,0.3734,412,47,satellite
338,262235,150.173493,1.68194,0.7584,2501,23,satellite
339,262317,150.242471,1.679507,0.1887,41,5,satellite
343,262624,150.03371,1.683137,0.9121,4001,5,satellite
346,262739,149.596109,1.681205,0.31,250,4,satellite
347,262762,150.128623,1.680187,0.8388,3428,8,satellite
349,262773,149.452094,1.682538,0.5726,1398,22,satellite
351,262835,149.837386,1.682416,0.7477,2602,14,satellite
352,262870,150.166859,1.683054,0.5739,1452,3,satellite
354,262906,149.939294,1.682133,0.3739,412,47,satellite
355,262957,150.369147,1.684139,0.9229,4273,4,satellite
357,263081,150.153565,1.68048,0.2198,72,48,satellite
361,263124,149.592434,1.681811,0.6599,2001,5,satellite
363,263197,150.279914,1.684444,1.1929,6963,2,satellite
364,263241,149.981127,1.682217,0.3728,412,47,satellite
368,263479,149.579212,1.683703,1.1244,6441,3,satellite
370,263564,149.769012,1.683375,0.6495,1872,11,satellite
371,263581,149.574608,1.683178,0.5719,1421,5,satellite
376,263729,150.148169,1.683509,0.5363,1290,2,satellite
377,263757,149.957965,1.681791,0.3781,412,47,satellite
378,263868,150.100382,1.684234,1.1066,6150,5,satellite
381,264025,149.681294,1.683942,0.5271,1208,3,satellite
382,264075,149.956677,1.684013,0.3704,412,47,satellite
383,264088,149.840881,1.684909,0.7101,2369,5,satellite
384,264102,149.896163,1.684427,0.6037,1560,5,satellite
388,264261,149.823984,1.685165,0.7128,2369,5,satellite
389,264303,149.957263,1.683631,1.0247,5561,10,satellite
393,264392,150.282657,1.683511,0.528,1134,52,satellite
394,264433,149.602851,1.684729,0.9339,4518,2,satellite
396,264528,150.214629,1.685361,0.8161,3159,2,satellite
397,264576,150.127573,1.68575,0.8381,3428,8,satellite
399,264661,149.944251,1.685486,1.0076,5561,10,satellite
400,264689,149.841655,1.68532,0.7467,2602,14,satellite
401,264714,149.785127,1.68658,0.9342,4630,7,satellite
402,264815,149.532848,1.686222,1.1242,6292,3,satellite
403,264818,149.459125,1.684784,1.1631,6877,2,satellite
404,264828,149.75863,1.686239,0.6704,1999,5,satellite
406,264896,150.30335,1.685731,0.556,1352,4,satellite
407,264912,149.982486,1.68599,0.8653,3780,3,satellite
410,265060,150.293011,1.684604,0.5056,1134,52,satellite
413,265147,149.984017,1.686836,0.9476,4756,5,satellite
416,265263,149.963554,1.684859,0.4358,830,2,satellite
422,265568,149.491064,1.68709,0.9651,5025,2,satellite
423,265579,149.634724,1.68817,1.1259,6442,2,satellite
427,265701,149.978534,1.684206,0.3709,412,47,satellite
428,265702,149.623267,1.68812,1.0874,6056,3,satellite
434,266054,150.285242,1.686284,0.5263,1134,52,satellite
