,cluster_id,ra,dec,redshift,R,number_density,L4
0,1,150.192581,1.653637,0.21514,195,110.8657,107000000000.0
1,2,150.406998,2.440581,0.21206,170,110.3256,52000000000.0
2,3,150.794373,2.20416,0.20538,8,58.2827,187000000.0
3,4,150.07193,2.205678,0.20709,33,114.693,18700000000.0
4,5,149.90538,1.560629,0.20292,12,84.1244,38700000000.0
5,6,150.608551,2.425767,0.20136,22,103.5634,31300000000.0
6,7,150.463654,2.569806,0.2039,10,66.903,1190000000.0
7,8,150.107117,2.364556,0.21616,98,72.3768,100000000000.0
8,9,150.389038,2.874512,0.20607,15,129.4119,15200000000.0
9,10,149.432297,1.744667,0.20987,15,104.7242,131000000.0
10,11,150.770874,2.391876,0.20675,48,81.3586,1380000000.0
11,12,150.320038,1.599206,0.21646,136,85.2167,55100000000.0
12,13,150.045242,2.698176,0.20689,9,149.5382,148000000.0
13,14,150.667206,2.429328,0.20287,8,77.0135,1540000000.0
14,15,150.199203,1.848501,0.20411,9,66.5355,117000000.0
15,16,150.799713,2.873392,0.21041,17,58.9286,6360000000.0
16,17,149.945465,2.592847,0.20745,20,70.5821,522000000.0
17,18,149.687851,2.33316,0.21157,23,74.0056,3630000000.0
18,19,150.514252,2.875921,0.20433,9,99.9273,7360000000.0
19,20,150.404343,2.545141,0.211,51,85.7127,701000000.0
20,21,150.140015,2.688072,0.21106,17,119.2175,280000000.0
21,22,150.318512,2.490873,0.20492,12,71.6067,517000000.0
22,23,149.502655,2.499453,0.20984,19,89.7118,262000000.0
23,24,150.560394,2.469387,0.20607,15,80.3191,3260000000.0
24,25,150.164963,2.857638,0.20722,9,63.4445,411000000.0
25,26,150.484818,2.684586,0.21661,89,48.1075,76800000000.0
26,27,150.80162,2.485365,0.20625,8,126.0651,527000000.0
27,28,150.698685,2.879858,0.20489,9,99.4061,314000000.0
28,29,149.708725,1.526617,0.20845,11,166.5689,145000000.0
29,30,150.728653,2.81665,0.21603,31,75.4908,33200000000.0
30,31,150.656464,2.787093,0.2105,8,46.9959,1050000000.0
31,32,149.839355,2.680121,0.21386,21,116.6425,1700000000.0
